이름,성별,주소,나이,신장,체중,휴대폰번호,신용대출한도 ,신용잔액비율,신용등급,월소득,교육정도,직업종류
이학자,F,인천 동구 송림2동,44,140,68.573333,1069645127,184200000,281.1063565,2,3073333,초졸,무직
박연선,F,서울 광진구 자양1동,57,160,62.575833,1057556048,67800000,1038.50749,4,1075833,학사,자영업
이정숙,F,경기 안산시 본오동,63,173,72.076667,1057083764,15500000,17.06129628,7,1076667,석사,주부
김근호,M,서울 용산구 효창동,68,164,78.078333,1058245522,14400000,51.50730402,7,1078333,학사,회사원
윤도영,M,경기 파주시 금촌동,33,133,66.079167,1039582797,13300000,32.12133654,7,1079167,대재,회사원
김정호,M,경기 고양시 마두동,74,173,78.08,1061599087,31800000,8.271178117,6,1080000,석사,학생
강금남,F,경기 고양시 장항동,68,176,75.580833,1092801114,24200000,58.04456959,7,80833,기타,무직
노득주,M,경기 김포시 풍무동,47,144,65.581667,1060048415,89000000,4.561197666,4,1081667,석사,자영업
한성구,M,서울 양천구 목5동,62,158,66.855906,1089983033,6100000,19.69050401,8,2355906,고졸,회사원
이성교,M,경기 고양시 마두1동,63,166,83.243834,1064990304,4400000,2.727810963,9,4743834,고졸,자영업
김대학,M,경기 고양시 화전동,45,144,68.5825,1041440120,20600000,125.6250762,4,2582500,대재,주부
최선희,F,경기 파주시 아동동,70,176,78.008333,1064834268,4900000,6.129497519,8,1008333,해외유학,자영업
박명서,M,서울 중랑구 면목2동,54,153,65.615721,1038269509,126300000,872.7800428,5,2615721,학사,주부
서송희,F,서울 구로구 신도림동,52,162,68.009167,1064077269,6000000,13.02419679,8,1009167,석사,회사원
신태선,M,울산 남구 삼산동,66,161,67.01,1016997999,634500000,27.06083044,2,1010000,학사,주부
주명수,F,광주 광산구 사호동,47,147,77.010833,1028869566,250300000,361.5223514,2,8010833,학사,무직
함영귀,F,인천 서구 대곡동,57,155,67.511667,1056123387,51900000,43.25638032,4,1011667,고졸,무직
김태종,M,경기 고양시 탄현동,50,159,77.0125,1024548510,4200000,4.520240993,9,12500,학사,주부
한상숙,F,서울 영등포구 대림1동,55,154,70.013333,1053560794,11100000,1.466786987,5,8013333,전문학사,주부
서영주,M,경기 파주시 월롱면,64,168,75.514167,1046212171,1600000,1.034312008,9,1014167,고졸,자영업
이덕조,M,인천 서구 불로동,47,144,62.015,1040012696,2600000,0.760612445,8,1015000,기타,주부
오경생,F,강원 평창군 진부면,66,166,79.123633,1062454408,21600000,4.72392693,4,9123633,전문학사,주부
김효숙,F,경기 고양시 주엽1동,67,177,84.515833,1040562912,2800000,3.244586176,7,3015833,고졸,학생
김윤희,F,경기 김포시 통진읍,55,160,83.5175,1028226677,46900000,47.08140465,3,8017500,대재,자영업
최재익,M,경기 고양시 일산2동,45,154,76.518333,1093806179,18200000,19.45908033,6,1018333,해외유학,주부
최승정,F,경남 함양군 안의면,50,149,80.019167,1014897164,262200000,55.22786973,2,5019167,학사,무직
염순성,M,경기 고양시 탄현동,49,148,68.833057,1044184237,7100000,159.1250364,9,3333057,고졸,회사원
조원영,M,경기 고양시 가좌동,48,154,54.52,1096980814,938900000,57.69629137,3,20000,석사,무직
최은아,F,경기 수원시 망포동,45,145,72.520833,1070912934,2000000,0.002567879,2,8020833,고졸,자영업
안지원,M,경기 부천시 역곡동,47,155,71.521667,1055718931,5900000,6.385253743,8,1021667,기타,무직
이상민,M,경남 김해시 외동,61,164,73.5225,1025071624,72100000,234.5745287,6,22500,전문학사,무직
신창환,M,경기 성남시 태평동,48,156,69.023333,1060508645,375900000,44.77783155,4,23333,대재,자영업
최은숙,F,경기 고양시 일산1동,22,128,57.524167,1012183178,382000000,431.7218355,2,8024167,중졸,자영업
박화자,F,서울 강동구 길동,65,160,75.525,1020551705,387300000,637.5717947,2,8025000,기타,회사원
김종우,M,경기 김포시 장기동,32,138,56.525833,1042509340,6700000,2.934048716,6,3025833,기타,자영업
권중태,M,경기 파주시 금촌동,36,140,61.526667,1058469559,13500000,1.931407286,4,3026667,고졸,자영업
문명일,M,대구 수성구 만촌동,60,167,71.0275,1082488137,14700000,228.3105023,9,27500,석사,자영업
박용숙,F,서울 용산구 이촌1동,74,169,80.528333,1090742684,3800000,16.33621653,7,8028333,기타,주부
윤재윤,F,경기 양주군 회천읍 ,66,163,72.826932,1014211888,229300000,0.270081799,2,3826932,해외유학,무직
노승열,M,경기 고양시 마두1동,53,155,72.529167,1075611458,7000000,4.218143077,8,1029167,학사,주부
백호현,M,경북 안동시 옥동,52,149,75.644323,1010629627,11100000,3.862509956,5,4644323,대재,회사원
이종태,M,충남 공주시 봉황동,61,167,62.53,1069425718,13400000,1.469862982,8,30000,석사,학생
서귀정,F,서울 강서구 등촌2동,65,162,67.030833,1018276582,147700000,66.16538659,4,1030833,학사,주부
허애자,F,서울 용산구 한강로3가,22,119,52.531667,1039661213,53100000,112.5562781,3,8031667,학사,자영업
송경호,F,인천 중구 항동7가,73,181,64.033333,1068838681,390600000,575.6349891,4,33333,대퇴,주부
윤혜경,F,제주 제주시 연동,45,155,77.099157,1068213169,3300000,36.74546528,7,9599157,고졸,주부
송윤미,F,경기 안양시 평안동,67,175,79.534167,1076671741,187800000,212.1369922,4,34167,석사,무직
김영준,M,서울 강서구 내발산동,43,140,64.471436,1048402213,24000000,0.844315325,6,2971436,전문학사,자영업
최병식,M,서울 송파구 가락본동,71,167,88.535,1081150890,3400000,4.925637363,7,3035000,석사,주부
도정숙,F,경기 김포시 고촌면,76,183,74.395428,1062646013,242200000,109.2671342,2,4395428,고졸,주부
정종식,M,경기 고양시 마두동,72,170,80.035833,1038757999,65100000,12.16788997,3,3035833,학사,주부
김동호,M,경기 고양시 마두1동,50,148,75.536667,1099445387,138500000,272.1540254,5,36667,학사,자영업
장재순,F,인천 연수구 청학동,67,169,72.5375,1010150045,75500000,70.60627882,6,37500,기타,무직
이양현,F,서울 은평구 갈현동,70,171,84.538333,1023786376,9200000,14.49748106,9,38333,대재,학생
강봉호,M,경기 안양시 안양2동,80,177,78.039167,1079184721,61300000,5.042881771,6,39167,고졸,회사원
유용성,M,서울 노원구 중계1동,62,169,77.04,1077610054,845600000,6720.818961,2,1040000,석사,자영업
임옥자,F,전북 익산시 남중동,63,169,80.540833,1090535904,891900000,184.9817009,1,8040833,대재,주부
김희숙,F,경기 고양시 원흥동,47,148,71.541667,1077759521,17300000,29.38688428,6,1041667,초졸,주부
설광섭,M,서울 강서구 등촌2동,67,168,80.5425,1033948890,335500000,65.48838328,3,42500,기타,무직
유남규,M,서울 종로구 내수동,63,165,74.043333,1012336269,164600000,169.0808106,5,43333,학사,주부
한경철,M,경기 고양시 화정동,59,169,71.044167,1032975789,81900000,114.7270924,6,44167,석사,회사원
전상우,M,대구 수성구 파동,59,157,80.546667,1015143067,28300000,43.64132077,4,3046667,학사,학생
허광옥,F,전남 순천시 조례동,54,150,67.232192,1015488807,27000000,208.2594141,3,8232192,석사,무직
정연명,M,서울 도봉구 방학2동,63,172,70.0475,1094888404,353800000,6964.429834,3,1047500,석사,계열사직원
전숙자,F,경기 파주시 교하읍,62,163,77.048333,1024820258,235100000,290.4477169,2,3048333,대퇴,주부
이상율,M,서울 송파구 가락동,69,171,80.549167,1074323940,59700000,6.538363602,5,1049167,이학박사,자영업
김미녀,F,경기 군포시 당동,59,160,85.55,1036823515,41000000,0.058236072,2,8050000,학사,자영업
박태종,M,경기 시흥시 목감동,40,142,51.550833,1056969423,444000000,842.0126378,2,1050833,기타,무직
정진식,F,제주 남제주군 남원읍,69,170,67.051667,1096742376,4200000,5.999074429,9,51667,고졸,주부
김문기,M,서울 용산구 원효로2가,74,180,79.5525,1028091544,30200000,56.65764897,5,1052500,석사,무직
최복순,F,서울 노원구 상계8동,74,177,86.053333,1050222418,36700000,1.523168682,7,53333,고졸,무직
임동호,M,경기 이천시 창전동,61,160,62.554167,1096756765,75500000,25.95826393,4,1054167,학사,무직
박인경,F,경기 안산시 일동,59,157,82.313037,1079202902,37300000,54.81440987,4,2813037,석사,자영업
강선진,M,경기 부천시 오정동,30,125,46.055,1030767192,27900000,9.414184646,5,1055000,학사,자영업
이상승,M,경기 파주시 탄현면,48,152,75.055833,1044583991,346700000,53.23431066,2,3055833,학사,자영업
이무덕,M,경기 김포시 북변동,63,164,72.556667,1066746290,48300000,5.925032514,3,3056667,학사,무직
박영규,M,경기 고양시 백석동 ,50,155,58.5575,1085120121,188300000,876.9887105,4,57500,고졸,자영업
정명재,M,경기 평택시 오성면,70,167,81.687067,1059137261,309700000,8.649108167,3,1187067,학사,회사원
류형열,M,서울 영등포구 신길7동,44,146,64.686858,1071668087,14400000,1.550858632,8,1186858,대퇴,주부
신영권,M,부산 강서구 대저1동,56,165,64.558333,1024249702,133800000,36.87720113,3,1058333,석사,군인
박은미,F,경기 의정부시 신곡2동,53,150,66.588158,1062856260,203900000,913.9768077,2,9088158,고졸,무직
이광수,M,경기 고양시 주엽1동,75,183,88.56,1096678871,560100000,5352.074992,3,60000,석사,자영업
이상길,M,경기 고양시 장항동,79,188,71.560833,1086079776,5000000,11.70058667,9,60833,학사,주부
최금선,F,전북 군산시 월명동,86,195,92.598671,1076605795,266600000,35.56829693,2,10598671,석사,자영업
조한순,F,서울 서초구 방배동,47,154,67.061667,1047744884,808000000,815.6203408,1,8061667,석사,자영업
김정례,F,대구 동구 지묘동,58,156,80.0625,1019914854,2500000,1.377638936,7,8062500,고졸,자영업
정동근,M,경기 남양주시 퇴계원면,49,152,61.063333,1067001894,52200000,2265.821686,4,1063333,학사,주부
전용희,F,서울 중랑구 면목4동,62,158,86.045341,1038594220,16100000,1.344661789,6,6045341,학사,주부
홍순갑,M,대구 동구 방촌동,60,157,81.065,1038499654,1300000,3.243092214,10,65000,고졸,군인
홍현자,F,경기 고양시 일산1동,44,145,77.065833,1048639616,2600000,103.2196594,7,8065833,중졸,자영업
이선순,F,경기 고양시 풍동,41,141,69.566667,1068651792,4700000,9.161221912,6,8066667,고졸,무직
이영애,F,경기 고양시 성사동,65,162,69.5675,1096098052,16800000,631.1044328,8,67500,석사,무직
맹복남,F,서울 서초구 서초동,51,148,73.568333,1040575664,39700000,58.5076281,7,68333,고졸,회사원
이혜숙,F,서울 마포구 망원1동,47,148,56.569167,1063278104,481700000,1314.037863,2,1069167,기타,자영업
이종욱,M,대구 동구 방촌동,59,165,75.07,1019320240,371500000,56.33470488,4,70000,고졸,무직
서동임,F,서울 은평구 역촌1동,52,155,68.570833,1042263208,63100000,2.212916517,3,8070833,중졸,주부
김원자,F,대구 수성구 수성동4가,68,175,90.071667,1044773555,781100000,287.4131018,1,7071667,이학박사,자영업
변선희,F,경기 시흥시 대야동,64,163,69.701043,1026149953,22000000,0.160698083,6,1201043,학사,자영업
김금순,F,경기 양주시 덕계동,76,175,90.0725,1022119022,824500000,2587.527146,1,8072500,대퇴,자영업
김미정,F,충남 공주시 우성면,52,152,62.573333,1036958832,18700000,40.42657604,8,73333,중졸,무직
이진경,F,경기 고양시 장항2동,40,148,72.074167,1057707972,22600000,5.216464825,4,8074167,대재,무직
강석수,M,경북 예천군 예천읍,56,156,65.575,1087443898,385500000,258.0343738,4,75000,학사,주부
최경자,F,경기 안산시 사동,81,190,80.576667,1068428648,11400000,1.56948589,5,8076667,대재,회사원
이순득,F,경기 고양시 일산1동,12,121,36.5775,1061367471,798300000,12207.16863,3,77500,전문학사,주부
김희도,M,전북 군산시 경장동,65,174,80.578333,1094239858,28300000,171.4611153,8,78333,초졸,회사원
박창록,M,대구 수성구 수성동1가,76,173,76.579167,1021444239,128400000,2109.72544,4,1079167,대재,회사원
박청,M,인천 남구 관교동,61,158,76.765274,1030020103,27400000,35.02998644,7,3265274,석사,주부
이철호,M,경기 성남시 단대동,40,137,70.080833,1017155318,4000000,0.268478214,9,80833,학사,자영업
이영숙,F,경기 안양시 안양9동,62,161,79.081667,1050136132,11800000,1.633785804,4,8081667,고졸,자영업
나진숙,F,인천 서구 원당동,39,143,53.587045,1078720843,16200000,271.388605,8,1587045,전문학사,자영업
강기영,M,경기 고양시 마두동,46,146,62.0825,1046850344,40500000,41.24828514,4,1082500,이학박사,자영업
김병채,M,경기 김포시 양촌면,47,148,62.008333,1054998556,661900000,2200.75808,3,8333,대퇴,무직
석복이,M,서울 양천구 신월2동,81,183,77.009167,1061483405,10400000,2.962151114,8,9167,학사,무직
송병숙,F,경북 포항시 용흥동,76,179,85.01,1090672824,274600000,44.60717743,2,8010000,석사,주부
김미진,F,경기 고양시 마두동,74,173,92.010833,1047174462,209400000,296.8823104,2,8010833,석사,자영업
채은석,M,부산 서구 서대신동2가,51,147,81.011667,1057351310,22800000,2.283839591,4,3011667,대퇴,무직
문희미자,F,인천 계양구 계산3동,62,170,76.0125,1076637435,565100000,700.3389536,1,8012500,대퇴,무직
김동석,M,인천 부평구 부평동,68,169,72.013333,1079263211,78100000,20.0251327,6,13333,전문학사,학생
고해숙,F,경북 구미시 송정동,49,159,71.014167,1065145743,27400000,1.186750168,4,8014167,학사,자영업
조윤실,F,서울 은평구 신사동,67,173,77.016667,1074859373,2200000,0.008464707,3,8016667,학사,무직
서현선,F,강원 평창군 진부면,43,148,71.5175,1045656548,5000000,4.003853308,6,5017500,기타,주부
박노익,M,경남 거창군 거창읍,55,158,74.018333,1043507623,6800000,13.08568042,9,18333,석사,주부
정영옥,F,경기 광명시 광명4동,50,158,65.036367,1023208868,53500000,5.838349949,6,1536367,대재,주부
이정옥,F,서울 광진구 중곡2동,49,151,74.519167,1056425572,48600000,92.36839404,3,8019167,해외유학,회사원
이의순,F,경기 고양시 일산2동,32,141,51.177718,1017798959,429500000,19.19969416,3,2677718,고졸,무직
이정숙,F,서울 용산구 원효로2가,73,175,82.520833,1022134599,23800000,15.22792623,5,1020833,초졸,학생
신용부,M,서울 송파구 가락동,47,157,69.521667,1026904149,501700000,591.1526239,2,1021667,고졸,주부
지경환,F,충남 예산군 예산읍,58,162,73.724857,1038210444,17100000,0.660938047,8,1224857,대퇴,주부
이미경,F,경기 고양시 일산2동,57,165,71.5225,1092428008,518000000,640.2278123,3,22500,고졸,자영업
민명기,M,경남 진주시 금산면,42,148,66.523333,1085848748,3500000,4.044293098,8,1023333,대퇴,기타
이성만,M,서울 은평구 녹번동,47,156,56.524167,1011893567,27000000,192.394023,5,1024167,전문학사,주부
김운경,M,경북 영주시 단산면,67,172,75.025,1043821249,67900000,113.4906826,6,25000,전문학사,회사원
류진하,M,경기 파주시 문산읍,42,147,66.525833,1028783601,3500000,9.751666838,8,1025833,초졸,학생
안병권,M,인천 남동구 만수5동,52,151,66.559187,1072922092,39300000,46.03048553,4,4559187,고졸,자영업
김이경,F,경기 고양시 탄현동,62,164,84.026667,1085066337,11000000,1.580945866,4,7026667,기타,자영업
전명성,M,인천 부평구 부개3동,68,168,75.0275,1010071945,4900000,0.702985277,9,27500,중졸,무직
김복순,F,경기 양주시 장흥면,72,176,83.528333,1028005857,1500000,10.98410234,7,8028333,석사,주부
이재화,F,서울 중랑구 신내동,68,165,85.53,1015508971,28800000,50.76285287,3,5030000,중졸,자영업
금복순,F,강원 횡성군 둔내면,62,159,80.530833,1028655481,215600000,223.8783497,2,8030833,대퇴,자영업
정재갑,M,경기 고양시 마두2동 ,50,159,75.031667,1092030577,121900000,21.24120054,3,1031667,기타,자영업
오광분,F,경기 부천시 괴안동,38,142,61.0325,1045620065,546600000,59.40625696,2,1032500,학사,자영업
강민자,F,서울 영등포구 문래동4가,77,174,87.033333,1081580069,22700000,804.337042,6,1033333,대재,회사원
박남옥,F,경기 고양시 탄현동,72,182,81.051113,1011844964,41400000,64.86476324,4,2051113,석사,강사
황창근,M,경기 안산시 선부3동,17,119,57.034167,1047596723,3800000,6.630374093,10,34167,석사,주부
김준철,M,경남 창녕군 계성면,69,167,94.535,1029009448,5200000,2.028494892,4,7035000,학사,무직
이상환,M,부산 기장군 일광면,47,154,64.535833,1081157639,3600000,6.60245171,8,1035833,학사,주부
윤종학,M,대전 중구 옥계동,63,166,80.036667,1095887140,68900000,180.7208375,6,36667,대퇴,학생
금병대,M,서울 구로구 신도림동,66,167,67.5375,1062857576,4600000,0.606567917,9,37500,대재,자영업
정찬우,M,서울 서대문구 북가좌1동,54,161,68.039167,1031254899,2900000,3.14622686,10,39167,대퇴,주부
전우벽,M,경기 고양시 주엽동,42,146,73.54,1034901257,25000000,96.5500728,3,7040000,석사,무직
이정순,F,경기 고양시 마두1동,45,149,55.040833,1058098711,11300000,11.54174178,8,1040833,고졸,무직
차윤례,F,울산 중구 약사동,68,165,76.541667,1052583265,184900000,210.0088706,2,8041667,학사,자영업
한민자,F,서울 강남구 압구정동,62,157,78.5425,1040637458,14000000,5.000085716,7,1042500,기타,회사원
김태현,M,서울 서대문구 홍은3동,77,187,76.543333,1010192451,812600000,2851.248079,2,1043333,기타,주부
명은옥,F,서울 양천구 목5동,24,128,54.171137,1024591604,11400000,12.65333848,7,2671137,학사,주부
이영수,M,경북 경주시 성건동,46,150,64.044167,1051967139,574500000,3612.821271,1,7044167,석사,자영업
김두영,M,인천 남구 주안2동,44,141,61.045,1026316903,724700000,0.790993012,3,45000,석사,주부
채순자,F,서울 구로구 개봉3동,60,161,73.045833,1020689316,4300000,0.988523472,6,8045833,중졸,무직
홍미홍,F,경기 파주시 파주읍,56,152,70.546667,1027541049,4900000,0.566088655,9,46667,학사,무직
윤주원,F,서울 마포구 연남동,61,158,73.5475,1048220367,10100000,16.04244099,7,1047500,석사,회사원
이옥녀,F,광주 광산구 동림동,67,168,77.926917,1061399399,287200000,8148.673571,3,1926917,대재,회사원
이종식,M,서울 은평구 신사2동,23,123,57.048333,1052224672,76700000,164.6756727,3,7048333,고졸,무직
강여울,F,경기 동두천시 생연동,53,157,75.049167,1085938078,225500000,631.9394235,4,49167,대재,회사원
서계선,F,전남 순천시 가곡동,35,131,67.05,1055116632,84000000,268.1872458,3,8050000,대재,주부
이동숙,F,경기 안산시 사동,72,173,80.550833,1074013313,296800000,157.2671963,2,8050833,이학박사,자영업
이재기,M,전북 완주군 상관면,45,146,74.527034,1093172074,34700000,203.2068025,6,7527034,학사,무직
김천식,M,경남 창원시 반림동,40,137,51.0525,1096195170,1400000,0.219490093,8,1052500,고졸,무직
