,IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int1,total_int2,total_int3
37,37,김**,서울특별시,*****,*****,점토제품 생산기 조작원,062-198-****,*****@naver.com,yeongjin15,10.34.11.54,420116**********,2007-03-05,367345,831,1445
38,38,김**,광주광역시,*****,*****,떡제조원,052-378-****,*****@live.com,ojihu,10.43.131.76,675940**********,2016-04-30,69523,901,640
39,39,장**,강원도,*****,*****,주유원,033-017-****,*****@yuhanhoesa.kr,jinyeji,172.22.186.47,650102**********,2012-12-25,724529,548,1831
40,40,최**,대전광역시,*****,*****,조경원,042-267-****,*****@gimi.kr,jieun24,10.156.237.51,501820**********,2008-01-24,645687,610,1018
41,41,장**,서울특별시,*****,*****,약사 및 한약사,062-163-****,*****@gimsongi.kr,yejun11,10.58.180.151,304589**********,1995-01-26,556596,459,6025
42,42,류**,전라북도,*****,*****,철로 설치 및 보수원,063-819-****,*****@gmail.com,jinho91,172.22.121.202,354495**********,1972-09-13,879193,986,3036
43,43,서**,경기도,*****,*****,플라스틱제품 생산기 조작원,052-599-****,*****@hotmail.com,gimeunseo,172.18.157.59,363826**********,1971-04-30,261588,64,9633
44,44,김**,제주특별자치도,*****,*****,경비원,033-469-****,*****@live.com,jiu42,172.18.7.69,302831**********,1999-08-20,375189,60,2923
45,45,오**,서울특별시,*****,*****,광고 및 홍보 전문가,055-248-****,*****@gmail.com,eungyeong13,192.168.252.137,357094**********,1999-06-28,657306,710,8302
46,46,서**,강원도,*****,*****,건설 및 광업기계 설치 및 정비원,055-767-****,*****@yu.org,gimyeongho,192.168.181.112,467391**********,2004-12-08,914867,724,2298
47,47,김**,대구광역시,*****,*****,국가/지방 및 공공행정 사무원,044-682-****,*****@coehwanggang.org,ji,172.26.195.10,349477**********,1995-07-29,269886,889,5221
48,48,이**,경상북도,*****,*****,시스템 소프트웨어 개발자,010-9877-****,*****@hanmail.net,hyeonjibag,192.168.220.122,350053**********,1999-06-27,589385,269,8259
49,49,이**,경기도,*****,*****,건설 및 채굴 기계 운전원,011-050-****,*****@nate.com,yunseoyun,10.121.196.166,494932**********,2014-07-16,285991,720,3793
50,50,이**,강원도,*****,*****,농업용 및 기타 기계장비 설치 및 정비원,051-353-****,*****@live.com,qgim,192.168.102.99,464541**********,1988-10-21,820420,194,1741
51,51,안**,경기도,*****,*****,직업 운동선수,054-713-****,*****@nate.com,gimyeongsu,10.142.247.31,355230**********,1976-02-08,706514,593,4661
52,52,윤**,충청북도,*****,*****,금속공작기계 조작원,064-719-****,*****@baggimbae.com,ngim,192.168.139.0,601105**********,1971-05-14,321175,319,3610
53,53,김**,충청남도,*****,*****,숙박시설 서비스원,044-278-****,*****@yu.com,minseog80,10.53.14.42,243811**********,1985-08-10,237270,52,876
54,54,이**,경상남도,*****,*****,식품/섬유 공학 및 에너지 시험원,017-731-****,*****@hotmail.com,gi,172.20.160.140,356754**********,2013-02-09,437601,29,7163
55,55,한**,울산광역시,*****,*****,생명과학 연구원,041-856-****,*****@nate.com,iyeji,10.106.44.157,477807**********,1993-10-07,465013,458,2163
56,56,한**,충청북도,*****,*****,항공기 조종사,033-967-****,*****@ju.kr,hbag,10.20.10.209,657733**********,1987-11-15,256032,216,448
57,57,이**,인천광역시,*****,*****,연구 관리자,031-595-****,*****@jusighoesa.com,bbag,10.194.27.84,468467**********,2017-04-28,518396,568,8833
58,58,김**,광주광역시,*****,*****,컴퓨터 강사,033-967-****,*****@hanmail.net,yunyejun,192.168.222.111,601148**********,1990-09-01,719174,218,3195
59,59,이**,경기도,*****,*****,표백 및 염색 관련 조작원,010-1088-****,*****@dreamwiz.com,caeweono,10.193.253.85,357888**********,1984-12-09,738790,101,7454
60,60,김**,경상북도,*****,*****,기타 배달원,062-963-****,*****@hani.com,junhocoe,10.87.79.198,223697**********,1997-03-26,514136,259,5272
61,61,김**,서울특별시,*****,*****,소방공학 기술자 및 연구원,016-620-****,*****@yu.net,lgim,192.168.106.3,180043**********,2013-07-31,736457,814,6389
62,62,조**,부산광역시,*****,*****,단조원,043-874-****,*****@yu.com,gyeongsu24,172.29.213.103,471634**********,2017-12-09,747273,82,5619
63,63,성**,인천광역시,*****,*****,일반기계 조립원,063-810-****,*****@live.com,jiyeong00,172.21.85.202,604615**********,2011-04-07,575325,354,4286
64,64,류**,대전광역시,*****,*****,조적공 및 석재 부설원,019-253-****,*****@dreamwiz.com,jungsu84,172.30.16.105,271997**********,1988-08-19,190408,798,3262
65,65,김**,세종특별자치시,*****,*****,통신서비스판매원,032-240-****,*****@hanmail.net,jihuni,10.247.106.66,499958**********,2000-01-04,607987,761,1087
66,66,이**,충청남도,*****,*****,농림어업관련 단순 종사원,053-470-****,*****@hotmail.com,yeonghwangwag,172.28.117.56,343072**********,2001-11-28,487292,670,9461
67,67,이**,광주광역시,*****,*****,문화/예술/디자인 및 영상관련 관리자,063-596-****,*****@naver.com,doyungim,172.29.65.243,474684**********,2011-12-24,813706,665,600
68,68,김**,울산광역시,*****,*****,금속공작기계 조작원,032-801-****,*****@hanmail.net,ryumijeong,10.176.255.18,511923**********,1985-08-03,800183,444,2987
69,69,양**,부산광역시,*****,*****,자동차 조립원,032-333-****,*****@nate.com,gimsubin,10.131.23.130,454751**********,1983-06-15,698880,47,4235
70,70,한**,서울특별시,*****,*****,바닥재 시공원,019-927-****,*****@hotmail.com,yeongja15,10.43.155.74,213154**********,2012-01-09,514920,674,5236
71,71,이**,제주특별자치도,*****,*****,상품 대여원,053-923-****,*****@gmail.com,seonghuni,10.255.133.211,379805**********,1997-03-03,108187,825,7055
72,72,김**,강원도,*****,*****,마술사 및 기타 문화/ 예술 관련 종사자,055-558-****,*****@seogimyang.kr,sbag,10.188.217.195,568928**********,1989-08-25,653282,922,4189
73,73,이**,충청남도,*****,*****,보험 및 금융 관리자,011-322-****,*****@naver.com,tgim,172.16.106.145,676153**********,2006-11-01,317014,904,2420
74,74,윤**,부산광역시,*****,*****,금속공작기계 조작원,051-812-****,*****@naver.com,jiweon34,172.27.249.189,352085**********,1993-04-15,436112,43,2683
75,75,김**,충청북도,*****,*****,출판물 전문가,053-359-****,*****@gimgangi.com,siu56,172.21.168.254,354527**********,1988-06-06,222245,733,5807
76,76,차**,부산광역시,*****,*****,기타 건축마감관련 기능 종사원,055-342-****,*****@daum.net,hyeonjun53,10.55.194.129,470871**********,1990-03-02,543872,234,5951
77,77,윤**,서울특별시,*****,*****,영상/녹화 및 편집 기사,054-093-****,*****@iyang.kr,gimgyeonghyi,172.27.151.250,349525**********,1977-04-30,76883,548,4926
78,78,엄**,서울특별시,*****,*****,미용사,062-289-****,*****@hotmail.com,ieunjeong,10.226.218.170,415546**********,1981-02-08,142958,133,2925
79,79,이**,충청북도,*****,*****,,055-024-****,*****@live.com,gimjieun,172.22.28.109,502075**********,2006-12-22,569663,521,1593
80,80,이**,충청남도,*****,*****,기타 기술영업 및 중개 관련 종사자,041-071-****,*****@yu.kr,gyeonghyihwang,172.20.135.117,358218**********,1986-01-28,884048,489,6761
81,81,김**,경상남도,*****,*****,식품/섬유 공학 및 에너지 시험원,063-257-****,*****@hanmail.net,gimyejin,172.21.52.94,419991**********,1997-01-28,667556,493,9490
82,82,한**,광주광역시,*****,*****,의지보조기기사,043-392-****,*****@gimibag.com,yeweon44,10.83.12.79,342449**********,1990-11-07,514717,138,1257
83,83,안**,강원도,*****,*****,기타 여가 및 스포츠 관련 종사원,043-024-****,*****@gmail.com,hongsanghun,10.146.148.19,407248**********,2006-09-06,743376,70,2827
84,84,윤**,서울특별시,*****,*****,정보통신관련 관리자,043-271-****,*****@ju.com,yeweon67,172.25.148.176,408545**********,2005-09-17,207405,969,1122
85,85,서**,충청남도,*****,*****,주조기 조작원,033-798-****,*****@gimbaggim.kr,jeongsun80,10.13.58.130,180054**********,1972-08-15,674275,628,5129
86,86,서**,울산광역시,*****,*****,기업고위임원,016-689-****,*****@naver.com,ocoe,10.180.38.25,651758**********,2021-02-28,372071,90,2356
87,87,이**,전라북도,*****,*****,문리 및 어학 강사,051-140-****,*****@nate.com,hyeonjun53,192.168.188.160,374582**********,2016-12-05,190445,241,6198
88,88,이**,전라남도,*****,*****,도배공 및 유리 부착원,051-659-****,*****@gimjang.com,eseo,192.168.226.42,639029**********,2012-08-13,518438,962,8096
89,89,김**,대구광역시,*****,*****,공업기계 설치 및 정비원,011-404-****,*****@live.com,donghyeon18,172.25.160.89,601199**********,2016-09-09,387851,76,4603
90,90,황**,충청남도,*****,*****,도시 및 교통설계 전문가,018-577-****,*****@yu.kr,junyeong50,192.168.193.23,447665**********,2009-08-26,555578,198,3784
91,91,최**,광주광역시,*****,*****,방수공,070-1110-****,*****@bagbaghwang.com,areum54,10.178.39.104,342203**********,1990-04-08,357890,876,5734
92,92,김**,서울특별시,*****,*****,비서,064-701-****,*****@yuhanhoesa.kr,ujin62,172.16.107.203,357655**********,1978-01-26,629068,685,441
93,93,김**,세종특별자치시,*****,*****,기타 스포츠 및 레크레이션 관련 전문가,010-5031-****,*****@nate.com,qgim,192.168.241.224,449652**********,2003-04-17,407416,24,541
94,94,김**,제주특별자치도,*****,*****,인문과학 연구원,051-919-****,*****@nate.com,pjeong,192.168.233.230,376594**********,1973-12-23,362881,20,591
95,95,양**,충청북도,*****,*****,시스템 소프트웨어 개발자,061-111-****,*****@naver.com,subin77,10.7.183.2,490769**********,1997-10-30,173116,366,7902
96,96,윤**,충청북도,*****,*****,기타 이미용/예식 및 의료보조 서비스 종사원,016-163-****,*****@daum.net,haeuno,172.30.111.216,412992**********,1980-04-13,536881,285,2787
97,97,황**,충청북도,*****,*****,물리 및 작업 치료사,032-542-****,*****@ju.com,janghayun,10.184.188.155,343745**********,2016-09-07,237574,548,8765
98,98,최**,서울특별시,*****,*****,기업고위임원,064-757-****,*****@yungim.net,ujang,10.205.125.87,373545**********,2002-01-23,821442,871,7100
99,99,황**,충청북도,*****,*****,일반 의사,017-334-****,*****@ju.kr,yeonghyiyu,10.245.177.135,225544**********,1977-01-31,387283,114,2673
100,100,김**,서울특별시,*****,*****,직업 운동선수,062-365-****,*****@yuhanhoesa.com,vgang,10.242.224.155,353517**********,2007-03-28,108602,358,2097
101,101,강**,전라남도,*****,*****,생산 및 품질 관리 사무원,042-005-****,*****@nate.com,gimseojun,192.168.212.228,429003**********,1978-04-21,21354,146,7269
102,102,김**,인천광역시,*****,*****,경호원,053-652-****,*****@nate.com,ygweon,192.168.98.153,438032**********,1982-01-18,352436,148,8124
103,103,송**,부산광역시,*****,*****,컴퓨터 하드웨어 기술자 및 연구원,070-1480-****,*****@ju.com,jeongnamhwang,192.168.186.186,359688**********,1971-06-27,787306,460,9887
104,104,장**,전라북도,*****,*****,섬유제조 기계조작원,063-826-****,*****@gmail.com,ygim,10.162.230.102,630409**********,2019-11-25,966458,145,4303
105,105,이**,울산광역시,*****,*****,법률/경찰/소방 및 교도 관리자,043-870-****,*****@ogimcoe.org,tseo,10.17.165.83,481237**********,1995-05-28,879647,810,7331
106,106,최**,전라북도,*****,*****,한복 제조원,011-082-****,*****@gmail.com,yeongho75,10.200.96.139,380115**********,2006-08-17,67502,405,5615
107,107,이**,충청남도,*****,*****,기타 의복 제조원,019-478-****,*****@nate.com,siui,192.168.13.24,601124**********,1999-01-10,198354,20,1175
108,108,송**,대전광역시,*****,*****,점토제품 생산기 조작원,016-171-****,*****@yuhanhoesa.com,migyeongmin,10.65.252.92,401798**********,2009-01-30,337191,314,8074
109,109,배**,강원도,*****,*****,기타 섬유 및 가죽 관련 기능 종사원,041-182-****,*****@jusighoesa.kr,ci,192.168.8.207,302504**********,2011-03-17,568686,866,990
110,110,박**,울산광역시,*****,*****,컴퓨터 보안 전문가,016-483-****,*****@naver.com,zjang,10.170.171.191,305300**********,1976-03-08,801331,246,2993
111,111,이**,서울특별시,*****,*****,변리사,018-894-****,*****@nate.com,bagyeongsun,10.155.40.233,653021**********,1975-11-10,139572,864,6482
112,112,김**,서울특별시,*****,*****,통신 및 방송송출 장비 기사,010-7397-****,*****@hotmail.com,hyeonjeongi,172.19.126.192,353608**********,1984-04-05,368233,191,4683
113,113,이**,충청남도,*****,*****,통신/방송 및 인터넷 케이블 설치 및 수리원,042-744-****,*****@yu.com,jeongsig92,10.77.203.9,301600**********,2019-01-31,205621,718,1088
114,114,김**,대구광역시,*****,*****,노점 및 이동 판매원,061-928-****,*****@jangigim.com,jieun89,192.168.8.105,444278**********,1991-09-15,822265,88,5768
115,115,허**,충청남도,*****,*****,증권 및 외환 딜러,070-1457-****,*****@icoeson.com,gno,10.229.135.40,358832**********,1984-06-03,493663,507,1214
116,116,박**,세종특별자치시,*****,*****,시멘트 및 광물제품 제조기 조작원,051-758-****,*****@daum.net,yunseoan,10.143.156.9,400274**********,2016-09-14,482600,821,856
117,117,김**,전라남도,*****,*****,법무사 및 집행관,032-157-****,*****@yu.net,doyungim,192.168.26.131,359063**********,2003-07-25,176192,67,5009
118,118,김**,경상남도,*****,*****,전기/가스 및 수도 관련 관리자,033-786-****,*****@hanmail.net,subin14,10.68.101.34,213132**********,2003-09-01,116326,975,4989
119,119,정**,인천광역시,*****,*****,지휘자/작곡가 및 연주가,019-230-****,*****@ijin.com,ugim,192.168.57.168,430568**********,2008-09-26,53025,131,8653
120,120,황**,인천광역시,*****,*****,고객 상담 및 모니터 요원,063-687-****,*****@gmail.com,gimhaeun,192.168.50.148,455918**********,1978-03-09,110221,643,6012
121,121,조**,경상남도,*****,*****,자연과학 연구원,041-684-****,*****@dreamwiz.com,yeongsugi,10.126.164.195,389669**********,2011-06-08,200497,299,8244
122,122,서**,전라남도,*****,*****,수의사,055-967-****,*****@bagi.com,junhyeog52,192.168.59.105,424633**********,2020-06-10,23645,982,6076
123,123,강**,대전광역시,*****,*****,전기 부품 및 제품제조 기계조작원,053-203-****,*****@daum.net,qhong,10.41.230.18,180085**********,1999-09-25,916760,409,7991
124,124,장**,부산광역시,*****,*****,영관급 이상,055-050-****,*****@daum.net,seosumin,172.18.14.101,358726**********,1971-11-17,375006,32,2856
125,125,김**,서울특별시,*****,*****,전기/전자 부품 및 제품 조립원,031-896-****,*****@live.com,junhyeog92,192.168.146.236,355215**********,2004-04-08,761593,490,3789
126,126,장**,부산광역시,*****,*****,수금원,054-210-****,*****@live.com,gimogsun,192.168.186.135,305665**********,2019-06-30,38004,358,8781
127,127,박**,울산광역시,*****,*****,아나운서 및 리포터,018-793-****,*****@daum.net,seongsubag,10.21.101.110,466098**********,1996-03-12,438902,625,7370
128,128,최**,경상남도,*****,*****,고무 및 플라스틱 제품 조립원,011-021-****,*****@live.com,bagseonyeong,192.168.254.115,352626**********,1973-04-28,199621,977,5720
129,129,김**,세종특별자치시,*****,*****,도배공 및 유리 부착원,033-480-****,*****@daum.net,gweonjaeho,10.30.200.233,423378**********,1994-10-29,649585,703,8116
130,130,윤**,광주광역시,*****,*****,농림어업관련 시험원,043-100-****,*****@gimbag.kr,jeonogsun,10.65.215.54,564258**********,2004-06-17,627269,726,9352
131,131,김**,인천광역시,*****,*****,공예원,043-873-****,*****@coeii.kr,jseo,10.165.47.51,354745**********,2006-05-22,37452,582,1852
132,132,진**,부산광역시,*****,*****,변호사,052-228-****,*****@baggimbag.kr,gyeongsug56,192.168.45.210,493351**********,2015-05-08,455693,755,6094
133,133,김**,전라남도,*****,*****,건설 및 광업 관련 관리자,017-526-****,*****@ju.org,gimmisug,192.168.121.34,460935**********,1992-07-25,640432,696,1023
134,134,권**,인천광역시,*****,*****,매장계산원 및 요금정산원,055-505-****,*****@hotmail.com,vgim,172.25.153.221,458277**********,1985-07-08,536571,726,3267
135,135,조**,강원도,*****,*****,일반기계 조립원,063-773-****,*****@gmail.com,eunseo13,10.149.39.4,300653**********,2003-11-07,576353,466,3258
136,136,김**,강원도,*****,*****,생산 및 품질 관리 사무원,064-709-****,*****@coegim.com,sugja93,10.145.164.61,341810**********,2006-11-30,411007,750,4747
137,137,장**,세종특별자치시,*****,*****,경기감독 및 코치,041-750-****,*****@hotmail.com,jihyecoe,10.8.34.141,270161**********,1983-11-09,477140,887,9684
138,138,강**,부산광역시,*****,*****,보험 설계사 및 간접투자증권 판매인,031-073-****,*****@gimmun.com,jaehyeon71,10.195.78.31,373716**********,1979-12-05,414279,756,9568
139,139,박**,대전광역시,*****,*****,대학 교육조교,054-164-****,*****@ju.kr,jiweongweon,172.20.203.36,658681**********,2008-12-22,924049,89,1397
140,140,김**,울산광역시,*****,*****,기타 경호 및 보안 관련 종사원,070-7837-****,*****@yu.kr,jaeho95,192.168.23.50,675924**********,2003-02-17,755078,416,9482
141,141,엄**,경상남도,*****,*****,관세사,042-522-****,*****@hotmail.com,seongjin57,10.76.108.196,180035**********,1986-06-20,954720,342,1666
142,142,김**,대구광역시,*****,*****,기타 전기/전자기기 설치 및 수리원,054-683-****,*****@yuhanhoesa.com,mjin,172.25.228.216,486291**********,2004-02-26,323726,382,4453
143,143,박**,경상남도,*****,*****,번역가,062-873-****,*****@gmail.com,geonui,192.168.122.48,356776**********,1971-02-19,273902,190,6624
144,144,이**,광주광역시,*****,*****,배우 및 모델,033-903-****,*****@daum.net,gimhyeonji,192.168.8.101,213124**********,2006-01-11,768720,449,7359
145,145,장**,제주특별자치도,*****,*****,경량 철골공,063-408-****,*****@naver.com,minji11,192.168.0.30,659565**********,1993-04-06,558588,266,7498
146,146,김**,충청북도,*****,*****,선장/항해사 및 도선사,011-633-****,*****@jangyungim.com,egim,172.26.33.54,222466**********,2001-10-30,374255,243,3382
147,147,박**,세종특별자치시,*****,*****,목제품 제조관련 종사원,031-390-****,*****@baggim.com,haeuni,192.168.93.250,402185**********,2008-05-07,472001,692,3805
148,148,이**,전라북도,*****,*****,악기제조 및 조율사,041-167-****,*****@bagryugim.com,gimhayun,192.168.158.201,451125**********,1992-03-28,270094,728,2615
149,149,이**,울산광역시,*****,*****,숙박/여행/오락 및 스포츠 관련 관리자,042-079-****,*****@gimcai.com,igim,192.168.197.235,502037**********,1986-05-02,408636,649,9441
150,150,김**,경상남도,*****,*****,가구조립원,062-552-****,*****@ju.com,mcoe,10.230.108.204,351122**********,1979-10-11,431435,507,4910
151,151,박**,충청남도,*****,*****,물품 이동 장비 설치 및 정비원,031-146-****,*****@live.com,seoyeon93,172.21.243.198,356941**********,2009-12-05,981567,449,2343
152,152,양**,제주특별자치도,*****,*****,화물차 및 특수차 운전원,019-349-****,*****@hanmail.net,mgo,10.119.55.31,229464**********,1982-05-11,522804,700,8065
153,153,이**,경기도,*****,*****,전산 자료 입력원 및 사무 보조원,052-817-****,*****@gmail.com,sanghyeon75,10.33.32.172,357499**********,1978-01-30,347092,932,6659
154,154,안**,전라북도,*****,*****,작가 및 관련 전문가,063-861-****,*****@live.com,jiyeongi,172.18.162.78,446745**********,1987-03-31,629740,155,9370
155,155,김**,서울특별시,*****,*****,시민 단체 활동가,019-787-****,*****@hotmail.com,lcoe,10.64.232.34,383877**********,2014-09-08,391374,988,1264
156,156,김**,경상남도,*****,*****,웨이터,016-293-****,*****@yu.org,minseohyeon,192.168.107.207,427870**********,1987-10-11,470993,543,5532
157,157,김**,세종특별자치시,*****,*****,건축 목공,053-578-****,*****@hotmail.com,gyeongsugseo,10.199.44.20,468796**********,1974-05-09,895030,840,1379
158,158,이**,강원도,*****,*****,세탁관련 기계조작원,070-6542-****,*****@live.com,hayunjin,192.168.226.126,353876**********,2012-05-14,888629,653,3219
159,159,송**,대전광역시,*****,*****,기타 사회복지관련 종사원,061-395-****,*****@baggim.kr,jinuseo,10.228.126.208,601176**********,1994-07-23,180560,907,7783
160,160,김**,세종특별자치시,*****,*****,자산 운용가,064-770-****,*****@gmail.com,xhwang,10.188.209.139,468081**********,2003-01-29,526405,253,2789
161,161,박**,울산광역시,*****,*****,방문 판매원,016-230-****,*****@dreamwiz.com,eunyeong96,10.158.57.68,371242**********,1987-04-14,700883,71,6421
162,162,박**,전라북도,*****,*****,인터넷 판매원,042-122-****,*****@ju.com,xcoe,172.21.66.76,415938**********,2002-03-03,9236,304,660
163,163,한**,대구광역시,*****,*****,국가/지방 및 공공행정 사무원,061-520-****,*****@hanmail.net,gimsunja,172.17.44.116,180002**********,1983-11-09,203317,486,8141
164,164,윤**,전라북도,*****,*****,오락시설 서비스원,019-941-****,*****@live.com,vgim,192.168.127.169,676360**********,1996-04-29,668229,628,2089
165,165,최**,대구광역시,*****,*****,법무사 및 집행관,070-9357-****,*****@nate.com,nyang,172.25.144.99,252411**********,1978-07-02,288864,645,6929
166,166,윤**,경기도,*****,*****,도배공 및 유리 부착원,053-511-****,*****@gimi.com,minseogim,172.22.9.29,305703**********,1981-08-27,35340,557,3513
167,167,김**,서울특별시,*****,*****,통신공학 기술자 및 연구원,043-977-****,*****@igim.kr,pbaeg,10.174.250.195,352584**********,1981-03-13,235170,662,5613
168,168,이**,충청북도,*****,*****,해외 영업원,051-640-****,*****@naver.com,coegeonu,192.168.71.93,417107**********,2006-11-12,763497,713,1077
169,169,이**,제주특별자치도,*****,*****,용접원,019-982-****,*****@jusighoesa.kr,coeeunji,172.30.29.78,272022**********,2019-07-10,165945,132,9008
170,170,이**,광주광역시,*****,*****,목제품 제조관련 종사원,019-172-****,*****@nate.com,seoyun02,172.20.252.227,180027**********,2017-01-14,251700,398,7156
171,171,윤**,울산광역시,*****,*****,보조 교사 및 기타 교사,032-251-****,*****@dreamwiz.com,minseo80,172.30.2.122,474689**********,1980-08-01,71359,624,9751
172,172,김**,인천광역시,*****,*****,직업상담사 및 취업 알선원,010-1037-****,*****@ju.net,doyun99,10.221.54.247,676298**********,1974-06-16,146873,590,7524
173,173,김**,충청북도,*****,*****,금속공작기계 조작원,053-212-****,*****@seogo.kr,bgim,192.168.170.169,180075**********,1995-08-08,970227,399,1746
