이름,성별,연령,휴대폰번호,신용대출한도 ,신용등급
김금옥,F,50,1021341528,100200000,3
이용웅,M,72,1076463404,10900000,5
김태수,M,50,1091619563,112900000,4
최민자,F,59,1040637159,73400000,3
이영철,M,42,1029309325,16600000,8
하재문,M,44,1069460530,3900000,9
여향희,F,42,1073000344,1600000,7
강영주,F,81,1012172491,15600000,9
최형로,M,82,1032810145,101000000,6
조진희,F,41,1078671674,32900000,7
노명진,M,52,1077001582,19200000,7
주기흥,M,27,1075614381,1300000,9
오후선,F,49,1032239077,723500000,3
김춘호,M,22,1057695280,339000000,4
박문자,F,9,1063669405,37100000,4
허철행,M,45,1023089234,246400000,3
박근신,F,53,1092349457,6200000,6
이건수,M,38,1062155987,11100000,5
오연수,M,69,1052815561,48000000,7
금동욱,M,14,1067340755,25400000,5
김장운,M,14,1017283011,93500000,3
우순보,F,29,1098002386,204900000,2
정경모,M,63,1057940467,5100000,9
선점례,F,44,1040495351,27800000,4
신부하,F,46,1076108696,39000000,3
강인화,M,70,1069186326,31500000,6
신규영,M,32,1062557547,16200000,4
고성순,F,56,1077663051,17200000,4
남숙자,F,58,1036371885,2500000,4
이해웅,M,53,1017582876,4600000,9
임영숙,F,73,1096166710,35600000,4
박옥자,F,39,1080142883,4400000,9
안병국,M,54,1083216183,8700000,7
김성배,M,66,1019615506,31700000,4
이영수,M,71,1099952165,950600000,3
이부강자,F,62,1018902441,984100000,1
오순례,F,41,1045259280,76900000,5
정부영,F,67,1018968904,3800000,6
최서영,F,60,1099173724,1100000,7
배현숙,F,52,1044670811,49500000,3
정연경,F,32,1017747642,19500000,6
박은임,F,54,1030635160,43300000,3
문영수,M,72,1044273626,15300000,7
장도춘,M,47,1066403984,247100000,4
김학련,M,67,1073250729,16300000,8
정애숙,F,56,1098111464,39800000,4
정수영,M,67,1057238179,42400000,7
이점숙,F,58,1081482176,6800000,6
신미선,F,32,1094751870,4100000,3
박순보,F,71,1075863555,926800000,1
박수부,M,38,1025471619,64500000,4
김현주,F,38,1038401942,507200000,3
송기순,F,52,1057880852,86900000,3
김희정,F,73,1043756665,32800000,4
전성하,M,36,1082122035,189300000,3
이옥자,F,51,1031578469,3400000,6
이명신,F,48,1032737666,4200000,6
한묘순,F,69,1096060940,7600000,7
김중환,M,48,1026690920,13500000,7
이범순,M,72,1052286732,3300000,8
김주미,F,42,1033037526,119900000,3
이수경,F,47,1067736948,17000000,4
이성미,F,57,1096396930,2800000,2
홍구웅,M,61,1073218200,391500000,4
정형권,M,56,1093715266,16100000,5
구본각,M,38,1089802749,11700000,5
문수자,F,64,1064381489,130200000,3
박재목,M,59,1043148189,70600000,4
구완성,F,38,1064830447,1500000,7
정오장,M,70,1038993859,792100000,2
김안심,F,54,1079527093,471600000,2
김연옥,F,57,1017534320,102800000,3
김유찬,M,49,1050202776,44000000,3
최국현,M,68,1014189305,7800000,8
박정순,F,50,1039614898,132600000,3
이기윤,M,39,1085495920,421500000,2
서옥원,M,61,1014513772,14200000,7
이부배,F,67,1052468076,26500000,7
김옥순,F,61,1041387005,85100000,3
홍미자,F,28,1088165715,286300000,3
이인수,M,45,1085937554,20000000,7
박현정,F,57,1019337820,257800000,1
김인자,F,53,1049663508,119600000,4
김완래,M,73,1033793112,19700000,6
김금순,F,47,1080057817,53400000,3
남기학,M,45,1091600707,558000000,3
유오선,M,45,1073373375,12800000,8
정인희,F,26,1075049081,111100000,2
황옥연,F,49,1051037393,14100000,4
전용래,M,69,1071333485,294200000,3
박영선,F,67,1028581504,27200000,7
박대연,M,42,1030577292,13000000,8
김은화,F,68,1052515739,2100000,7
문혜자,F,48,1069795687,49100000,3
김근태,M,46,1060307696,5500000,9
김진분,F,53,1098763804,5600000,6
홍창원,M,61,1087461466,53300000,3
오인석,M,63,1045354681,762800000,2
장만호,M,63,1017545111,47100000,6
이희남,M,12,1035040115,487100000,3
유영주,F,74,1084025514,26700000,4
박춘매,F,61,1066929169,40400000,4
민복순,F,35,1032240619,3600000,9
이정화,F,40,1091678911,12400000,5
정례호,F,38,1088590336,18200000,4
이옥순,F,37,1077523782,3400000,7
조정호,F,59,1047218371,431200000,2
권영칠,M,65,1029861051,66600000,3
박맹순,F,58,1063059994,40900000,4
김옥진,F,44,1011075115,14200000,6
이덕의,M,70,1069694789,214900000,4
양승실,F,62,1017522265,75000000,3
허충궁,M,67,1073647313,5300000,7
김태식,M,58,1085939078,59100000,3
유정자,F,68,1082592187,2600000,9
지유선,F,41,1010360288,86900000,3
이남형,M,67,1039459195,704600000,3
노영상,M,64,1054224521,60500000,6
이은복,M,51,1054980523,27000000,6
정갑주,M,68,1056999514,59500000,5
남봉현,M,41,1042091659,3200000,10
양인숙,F,14,1069210424,42900000,3
방재경,M,30,1018367024,4800000,7
장차도,M,68,1072288911,33200000,7
한정숙,F,74,1068697878,16300000,3
박삼순,F,45,1078050043,536200000,3
이해순,F,52,1049806960,44900000,4
김수견,F,67,1065670517,9300000,5
유미옥,F,15,1052756474,16300000,8
진석자,F,59,1022797706,30600000,4
이향자,F,38,1090319418,538600000,3
문경순,F,48,1042085714,6200000,9
조대형,M,62,1069006411,125700000,4
조정란,F,48,1089250563,794700000,1
유사현,F,79,1035344041,4900000,7
김종기,M,35,1073630611,13300000,6
이정호,M,46,1035426179,95500000,3
박영선,F,49,1082063063,82300000,3
박선하,F,63,1054553911,12000000,5
김영순,F,50,1022389307,49100000,6
안혜선,F,39,1094594570,6000000,9
김계은,F,68,1026594897,33800000,4
이금순,F,45,1050182775,17100000,4
송정모,F,67,1017901568,5800000,6
김수옥,F,43,1052843413,10500000,5
유계월,F,75,1053444677,7700000,7
조오남,F,81,1077948745,10900000,5
송경숙,F,79,1082073779,14800000,4
유영자,F,64,1068135488,12900000,5
박종례,F,60,1080900757,40000000,7
황건식,M,48,1054984962,22300000,7
권영갑,M,46,1089693513,17500000,6
이수정,M,26,1090923977,2500000,6
심연심,F,32,1097043628,1000000,9
김정자,F,82,1055948631,151400000,5
박용숙,F,72,1028144303,251100000,2
김종원,M,55,1043907422,24300000,7
김다임,F,74,1072694229,20600000,4
조정금,F,67,1019698077,26900000,4
배청자,F,66,1052984919,26000000,7
이양수,M,40,1063558043,4500000,10
박재선,M,45,1057081503,17900000,5
권선호,M,64,1086410421,132600000,5
윤용근,M,51,1039515593,5100000,8
양성호,M,59,1053158592,248100000,3
김형인,M,37,1067495321,18200000,8
이동은,M,49,1022739991,23900000,5
황순복,F,58,1086334159,51800000,6
허일권,M,61,1097361063,450200000,3
정주희,F,56,1047009587,1000000,7
박인규,M,54,1065325794,24300000,5
홍성옥,F,47,1092720597,175300000,3
김석기,F,47,1089507349,23300000,4
홍영근,M,54,1034739727,233000000,2
강석현,M,67,1098832234,38400000,7
전삼실,M,57,1010645266,25300000,7
박영자,F,52,1033378280,1500000,7
김병규,M,65,1042130062,69900000,6
김성수,M,54,1011365476,196200000,3
이산종,M,55,1015329744,141400000,4
서문자,F,37,1090206802,15900000,4
김재승,M,65,1050913336,338200000,3
신홍순,M,57,1031001812,4200000,9
조선자,F,53,1055972191,64300000,3
이미자,F,70,1014452979,20000000,4
이삼식,M,55,1051461634,54400000,4
정홍연,F,73,1082857413,2700000,6
강인배,M,51,1074875461,1400000,9
김성규,M,60,1014792787,40100000,3
이철형,M,70,1079412141,39100000,4
장태봉,M,70,1053427064,32600000,6
백진순,F,65,1066763648,25200000,4
김태순,F,70,1029274280,55400000,4
서노적,F,69,1069042951,13500000,5
김현철,M,70,1068749024,54800000,7
정연대,M,74,1091286123,15600000,4
성창용,M,31,1010878981,24400000,7
전후본,M,50,1049249469,147000000,3
전연옥,F,14,1037123139,19100000,8
조유수,M,68,1023081642,66300000,6
홍금자,F,66,1088773983,5400000,8
김은영,F,18,1041008445,542400000,3
민병모,M,36,1063729332,17400000,8
박우엽,F,71,1017791530,582300000,2
김재성,M,79,1051545577,344800000,4
정인수,M,57,1086392262,27600000,8
이성애,F,44,1013198010,41900000,7
조정애,F,64,1084691721,5300000,6
유복규,M,53,1030016287,29900000,5
채연식,M,54,1090733043,461200000,3
유영임,F,67,1049051489,29500000,4
김민선,F,74,1087936413,73000000,6
조문오,F,57,1033390153,137500000,3
임숙자,F,53,1015036650,18000000,4
김경수,M,42,1060114101,6700000,7
김원중,M,60,1050876422,14100000,6
김진영,M,59,1055863147,2500000,6
최귀정,F,71,1067899660,7600000,6
서순득,F,63,1080810906,1200000,7
박준섭,M,48,1040192339,70400000,4
박호현,M,62,1052377144,558600000,1
김상균,F,63,1014167555,292400000,3
유혜원,F,57,1092607899,5500000,9
윤경희,F,62,1019364117,43900000,3
김동욱,M,73,1034075233,26700000,4
손복례,F,51,1012180401,190200000,4
이복희,F,45,1010300360,67900000,3
심명애,F,38,1052448798,7800000,9
김춘금,F,63,1044970893,11600000,5
조영자,F,38,1072971419,2700000,6
윤덕균,M,36,1058980229,94300000,3
김진영,F,41,1058465646,165400000,2
원낙희,M,79,1098017680,59400000,6
김성기,M,63,1011159749,869300000,1
서상욱,M,48,1040028160,14800000,6
장동일,M,63,1068853816,43600000,4
윤기숙,F,66,1062678656,250700000,2
여충엽,M,75,1034035103,24100000,8
최재홍,M,57,1027258648,24300000,7
허진욱,M,50,1091519849,79900000,5
김대유,M,69,1028566381,16100000,9
곽병호,M,53,1025731248,199900000,3
김순배,M,48,1042772201,6900000,7
한복예,F,32,1085357877,2700000,7
이영화,F,68,1091607442,219500000,2
김용철,M,65,1029395648,2000000,8
김유정,F,54,1065286511,33500000,3
최인옥,F,63,1091895479,11100000,9
박명근,M,72,1045075801,19700000,7
김옥자,F,62,1093449478,18000000,8
고유순,F,45,1072742036,165100000,2
곽수암,F,58,1034169375,10600000,5
이명희,F,36,1057973885,8100000,5
최은진,M,44,1030443217,11400000,9
박상현,M,80,1083768027,322800000,3
김영식,M,44,1059016770,95700000,4
조용녀,F,70,1045167418,2900000,8
김혜선,F,32,1016681759,4000000,4
옥혜원,F,2,1066286701,247800000,2
정정남,M,45,1090885439,80400000,4
신태선,M,66,1016997999,634500000,2
강석수,M,56,1087443898,385500000,4
이정숙,F,73,1022134599,23800000,5
정찬우,M,54,1031254899,2900000,10
이승현,F,46,1053412311,1200000,10
주명순,F,70,1075347030,26200000,4
정진수,F,49,1078085975,175200000,4
박지현,F,65,1067452758,322000000,4
이경애,F,58,1096346891,85400000,3
이복순,F,40,1078306848,286600000,3
안규삼,M,32,1099128988,612400000,3
이현동,M,36,1079072682,70300000,4
최덕규,M,58,1069361343,62800000,6
이옥수,M,62,1055284115,2400000,7
권태안,M,10,1013254530,122100000,3
이재숙,F,62,1092007858,4700000,9
김경미,F,54,1051457633,37900000,4
이순희,F,62,1067996199,18400000,4
이정국,M,57,1033061663,284000000,4
이종두,M,72,1070778578,50200000,4
강명희,F,59,1090576943,5200000,5
윤기섭,M,74,1082115823,463000000,3
김옥순,F,50,1078254897,19100000,6
조창환,M,59,1070464818,855900000,2
곽성신,M,55,1095657483,70300000,4
박종미,F,69,1082706845,30300000,4
변금석,M,53,1014240891,104900000,4
한성숙,F,46,1051479925,14600000,4
이용규,M,58,1094091685,18100000,8
전제범,M,62,1018750867,12600000,8
손용귀,M,65,1098877552,30900000,6
용단녀,F,45,1034517589,36100000,4
이은경,F,69,1083760979,187400000,2
임보래,F,54,1064947945,54800000,2
김순봉,M,19,1082977159,714900000,2
오기록,M,48,1090646704,2500000,10
최복순,F,73,1042189330,19300000,6
김분영,F,48,1050432799,58700000,3
이정희,F,57,1026623640,360900000,1
이영기,M,74,1081249449,31800000,8
이흥범,M,69,1075860531,3500000,8
전해원,M,61,1010491072,55700000,6
강낙중,M,43,1040757170,239100000,3
주선희,F,47,1095031856,21800000,8
팽상재,F,47,1044922430,33100000,4
박홍순,F,47,1073350549,981600000,1
김순재,F,40,1053314889,5300000,6
박종찬,M,39,1010135416,495500000,3
신영자,F,47,1024890526,27600000,4
방순일,M,48,1024295099,990900000,3
김형도,M,62,1076237666,10400000,9
이우연,M,48,1017202235,5600000,6
노혜심,F,31,1041267898,340200000,2
권영철,M,73,1038084244,20000000,6
최문경,F,65,1044866221,37200000,4
유영우,M,36,1051771246,988000000,3
최애순,F,67,1035295012,12800000,4
윤석순,F,42,1088216822,476500000,2
박종철,M,17,1087895747,784900000,3
이경심,F,50,1074102024,62300000,4
김연우,F,9,1052793609,3500000,5
전연자,F,85,1033687279,90300000,3
김진곤,M,67,1071891106,32400000,6
이충권,M,44,1071780271,21800000,7
이박,M,55,1068273776,37700000,6
주순자,F,20,1024927054,13200000,6
조용호,M,60,1031257887,272800000,4
황기산,F,67,1077888954,210600000,2
이창배,M,69,1019782455,3400000,10
고문자,F,43,1036361184,9500000,9
박대원,M,46,1091201684,16400000,4
이창재,M,39,1072191931,63400000,4
김금옥,F,59,1045089236,252600000,3
강성연,F,13,1021255250,62700000,4
변순화,M,23,1042853768,11800000,6
김태환,M,31,1064735527,351100000,2
김옥순,F,68,1071362094,27900000,8
조순초,F,39,1079317467,75900000,4
김정화,F,38,1027734987,12000000,5
이재형,M,56,1037127101,879700000,3
서예경,F,30,1046357376,26600000,4
김종기,M,49,1098001345,6400000,6
이양순,F,56,1093432756,14100000,4
윤명숙,F,41,1054308113,38200000,7
이상무,M,62,1097538017,109800000,5
이현용,F,69,1098904882,53800000,3
오세철,M,49,1048999560,12800000,8
김성희,F,42,1035045571,179800000,2
전용관,M,60,1025787040,23300000,8
김명자,F,61,1053415243,14000000,4
김명복,M,61,1010018123,103200000,3
박미숙,F,39,1027077191,26600000,4
박경술,M,36,1075376732,321900000,3
김여진,F,49,1021529556,9400000,8
양미숙,F,69,1032404936,17700000,4
장수인,M,66,1030405798,505300000,1
권혁자,F,38,1084003088,37200000,4
이긍직,M,72,1094116572,3100000,8
한규남,M,65,1053612840,58000000,6
박종권,M,26,1071765467,45900000,6
배대웅,M,72,1091827733,53000000,7
정봉래,M,42,1014243089,12200000,8
이영자,F,51,1034656483,60700000,3
박상현,M,35,1029614113,511200000,3
정길자,F,63,1062372448,52500000,6
이혜정,F,66,1025527298,27000000,4
윤홍만,M,42,1079186024,20400000,8
여정구,M,58,1013343770,256300000,2
이태만,M,86,1094693150,2900000,9
이명자,F,55,1054245358,48900000,2
전성애,F,44,1070926112,4500000,4
여희자,F,71,1085531734,20800000,4
강태희,M,70,1016020291,32000000,7
박창수,M,41,1082776434,2600000,4
김성현,M,43,1059592644,97400000,4
이월순,F,56,1035472115,354000000,2
이희석,F,64,1037800331,79900000,3
서란주,F,69,1036003185,309300000,2
맹삼영,M,66,1078771738,960100000,3
김희숙,F,61,1011095043,6900000,6
이종수,M,25,1087014879,84700000,5
이용자,F,44,1049911992,15000000,4
하덕임,F,41,1087844440,22100000,6
박대용,M,70,1046891756,17100000,8
이세은,F,67,1066239705,185500000,2
최근식,M,50,1074488508,1600000,9
최금녀,F,85,1098792079,982300000,1
김철배,M,46,1091393176,18900000,8
이연화,F,53,1085718598,21900000,6
박숙자,F,60,1052084539,28500000,7
김진겸,M,36,1099852070,600500000,3
김선임,F,60,1031373755,10900000,5
이흥용,M,44,1076294125,77100000,4
황재상,M,63,1053707983,39800000,7
김천수,M,33,1025455981,13100000,6
황금석,M,49,1099019611,305600000,3
김현숙,F,58,1060235374,9200000,5
홍은아,F,65,1076022956,301500000,2
김창민,F,58,1030051085,14500000,4
조휘순,F,49,1025187923,789300000,2
이성실,M,71,1068763272,2100000,4
배명필,M,62,1076846971,13900000,9
허만조,M,51,1014197836,31100000,7
강심원,F,43,1048638360,11800000,6
이남섭,M,62,1054827109,1300000,4
안병용,M,37,1033577501,14000000,7
이순례,F,66,1072483690,16000000,8
최미영,F,76,1081019790,24500000,4
유화자,F,47,1087438892,3700000,7
오진봉,M,53,1074359033,24400000,3
박춘자,F,38,1010395508,303200000,2
최장선,F,41,1093363623,47900000,3
박경원,F,67,1065455302,82600000,5
임순남,F,70,1087429530,61100000,3
김학주,M,52,1074925847,2700000,10
이미정,F,70,1076685189,64600000,7
전용희,F,62,1038594220,16100000,6
지경환,F,58,1038210444,17100000,8
홍미홍,F,56,1027541049,4900000,9
김필연,F,75,1070320730,27600000,5
이진자,F,69,1026853582,88000000,3
최영옥,F,21,1055374004,10800000,6
장윤정,F,48,1083861246,13000000,5
진기순,F,62,1074236780,1600000,7
남상억,M,67,1099168385,17200000,6
진해갑,M,59,1026656196,662700000,3
조순자,F,37,1098172587,273300000,2
정순애,F,9,1037845037,40500000,3
이금자,F,46,1014183310,266600000,2
박은규,M,58,1088363341,36600000,6
도병출,M,56,1077118840,29500000,8
배신효,M,64,1078694095,2900000,6
김종순,F,47,1027796452,2500000,7
권영분,F,30,1026574431,840000000,1
성국현,M,71,1073108724,7300000,7
이정란,F,35,1093679781,369400000,2
염형돈,M,49,1015229099,16300000,8
송하영,F,63,1043801689,28300000,4
권혁문,M,11,1056845884,210600000,3
김부덕,F,49,1049802679,715200000,2
정경인,F,42,1074095474,14900000,4
이광선,M,66,1047500753,55000000,3
김선미,F,57,1049761818,87400000,6
한상용,M,76,1085492752,20200000,7
김성구,M,54,1060614948,715900000,1
조만님,F,54,1023362622,25600000,4
이삼수,M,63,1031837877,1300000,10
김정임,F,65,1042652463,3200000,4
윤경진,M,56,1050191891,3300000,4
송점순,F,42,1032198028,32700000,4
김정희,F,71,1056102123,13000000,8
송재로,M,38,1029795212,13500000,9
공현선,F,66,1099965916,22600000,4
윤태선,F,57,1024234392,3600000,6
유동희,F,60,1076828844,24600000,4
서윤희,F,42,1049622134,115100000,3
김경희,M,63,1090299082,2400000,10
임령자,F,50,1066243721,32600000,4
윤서희,F,60,1084121115,72200000,2
이현성,F,60,1061858848,22600000,4
강숙희,F,46,1041562052,395200000,2
김금순,F,15,1040860731,12400000,7
이숙자,F,68,1097228941,15900000,8
박창남,M,67,1037636170,383900000,3
신한도,M,31,1030895412,1600000,10
박노연,F,60,1083494408,71500000,4
류덕근,M,65,1058237111,180700000,1
유성학,M,56,1078733000,96300000,2
박인수,M,63,1013351462,126600000,4
최동수,M,74,1071788302,577400000,2
이맹자,F,64,1061020260,435900000,2
박규갑,M,30,1062735562,196900000,4
최선미,F,32,1087414501,177900000,2
이숙자,F,50,1034495891,8000000,5
강인자,F,56,1083585649,2200000,5
천길번,M,35,1011741176,70700000,6
고문희,M,68,1054809314,11200000,6
김순달,F,39,1064740142,372300000,2
박원준,M,44,1040047327,702500000,3
김수진,F,36,1030633284,226600000,2
박용신,F,73,1015137715,40700000,3
윤정해,F,61,1010989043,131800000,3
김한경,F,44,1029575277,16700000,4
김문재,M,47,1054567680,102700000,6
김광수,M,64,1084802833,181100000,3
김인수,M,60,1075413894,194000000,2
노장수,M,51,1065611601,139200000,3
김갑중,M,62,1087618115,27300000,5
지은희,F,58,1023268070,7900000,9
김광주,M,1,1081495075,143200000,4
오옥균,M,62,1012742937,8700000,9
김은정,F,53,1049038056,1500000,10
박정용,M,39,1085515743,3800000,7
백일승,M,50,1076245941,42900000,6
이흥분,F,34,1011872216,219400000,2
김미화,F,44,1073410194,10500000,5
구자청,M,67,1087088858,11800000,9
장수환,M,47,1011328899,78000000,4
김정희,F,45,1030207894,16300000,4
정태식,M,75,1088058040,389900000,4
정춘길,M,24,1042979570,21600000,5
송춘자,F,70,1051916292,53100000,3
곽귀복,F,61,1088170710,235000000,2
성인실,F,9,1085827994,626400000,1
이화무,M,54,1061657391,41600000,4
조두휘,F,45,1025735019,37100000,4
신은주,F,46,1076499900,9200000,5
박양우,M,68,1023901942,21600000,6
이점려,F,67,1045425044,140100000,5
강영욱,M,63,1060600967,13500000,8
이재용,M,66,1062222951,205100000,3
이수정,F,54,1063005683,564800000,3
김영춘,M,38,1063062546,64500000,4
신충환,M,47,1043480944,14300000,8
박도화,F,73,1083675150,517600000,3
김춘자,F,62,1015807562,569900000,1
임춘화,F,44,1049040536,17100000,4
정수동,M,53,1092903427,212100000,4
류숙자,F,43,1066916207,256500000,2
김재원,M,48,1013147369,47800000,5
이미향,F,70,1094317316,11200000,2
엄구자,F,63,1093320291,33100000,4
이정우,M,39,1057019175,290100000,3
안주효,F,59,1031681333,715800000,1
김호길,M,64,1050977511,9700000,9
소성엽,M,61,1092777692,4200000,9
현종옥,F,71,1031456210,747700000,3
김송재,F,69,1058634346,34900000,4
전납순,F,39,1079758270,32700000,4
이길성,M,52,1081933922,29700000,4
김기주,M,60,1067618867,276100000,3
정삼례,F,63,1073357383,11700000,5
서정율,M,76,1022494063,33200000,6
김봉희,M,66,1093544172,99800000,3
오흥식,M,64,1092570179,1800000,9
안중걸,M,66,1046526949,641900000,3
강미숙,F,78,1054639650,78900000,3
이창휘,M,58,1064453230,1100000,10
박호일,M,59,1010796944,7300000,8
이명녀,F,59,1062410453,13500000,9
이경자,F,40,1076644054,83400000,3
이상숙,F,36,1023215826,9000000,5
정연란,F,39,1096923285,10500000,5
정재남,F,40,1085463349,7800000,6
김성호,M,66,1088853008,4100000,8
김경제,M,44,1026459401,428200000,2
김창수,M,52,1061772061,7200000,7
구현미,F,42,1034213382,1300000,8
구순자,F,57,1096361063,51800000,3
김정순,F,65,1037884991,12600000,5
김미정,F,67,1097788563,18800000,4
이병숙,F,39,1042739292,1600000,7
김만례,F,52,1045507083,59400000,7
양희숙,F,84,1027340929,51700000,3
김수진,M,48,1077163565,59800000,4
김용자,F,70,1017377828,489400000,2
변창근,F,45,1058548001,546300000,3
이덕임,F,80,1088467756,258500000,4
홍기표,M,55,1044748101,24300000,7
최석표,M,60,1097122366,229400000,3
윤기현,M,55,1014435072,27400000,3
조금화,F,69,1052524188,33400000,4
이주환,M,40,1021632669,14300000,4
윤낙분,F,60,1087800710,89400000,6
김광호,M,39,1058291992,12800000,9
전선보,F,55,1057132672,27700000,5
김순금,F,54,1032965411,864700000,2
권맹례,F,49,1036008346,19700000,8
이정주,M,76,1077839201,81700000,3
원유선,F,37,1058296737,156000000,5
권복숙,F,66,1038034479,43700000,3
최명옥,F,59,1068959467,23100000,5
한일장,M,39,1058430732,2200000,9
이형진,M,19,1085446360,31700000,7
이정숙,F,51,1059550398,471800000,2
소병환,M,42,1036387580,26200000,4
박영대,M,59,1015823845,1700000,4
홍영순,F,36,1011704075,4500000,9
서병욱,M,66,1099761647,9500000,8
김병열,M,36,1036551549,4000000,7
주연숙,F,62,1065334640,2500000,7
오재호,M,31,1068620872,29200000,5
정환호,M,40,1095178897,2700000,9
김상수,M,53,1052112352,2800000,9
김호봉,M,60,1021736145,64700000,4
이경석,M,74,1045198822,12300000,6
권희원,F,55,1047221120,29100000,8
김은숙,F,49,1049807315,51500000,3
신순예,F,71,1082032548,22800000,4
강봉호,M,80,1079184721,61300000,6
안병권,M,52,1072922092,39300000,4
조덕재,M,51,1058672778,55300000,4
손정숙,F,67,1066320162,10700000,2
하종렬,M,74,1017060715,2400000,10
김봉은,F,50,1066679495,44500000,3
장익란,F,56,1082640066,37200000,4
장정영,F,33,1049860255,42200000,3
정용만,M,42,1046943489,19600000,6
김기옥,F,54,1053317775,3000000,7
김영혜,F,64,1025981900,2100000,7
김경숙,F,48,1083740405,2000000,7
안상심,F,64,1048405702,974200000,3
권태욱,M,67,1049516336,166000000,3
이음전,F,49,1082861292,535600000,2
최해조,M,41,1021502247,4400000,9
김주선,F,71,1054477403,695900000,1
임지혜,F,43,1081905014,3700000,5
김정희,F,59,1041282305,2200000,7
임나경,F,13,1096601308,26800000,4
안복례,F,56,1055526843,3500000,9
최만기,M,60,1053565848,25700000,7
이행순,F,39,1098687717,929400000,2
김중섭,M,37,1052045158,11400000,7
노병석,M,58,1076495432,35300000,4
권영대,M,39,1024290440,7600000,6
조소진,F,56,1033572146,12400000,5
민순덕,F,35,1045769932,38200000,4
오종섭,M,49,1082126604,121200000,4
모정임,F,50,1082673931,3600000,8
김성래,M,55,1081453360,103500000,6
민정원,F,60,1049187288,25400000,8
이지아,F,58,1063900231,285600000,2
오혜숙,F,35,1075494325,13000000,5
김재기,M,43,1097912970,138700000,3
조상욱,M,71,1049407020,290000000,2
박병운,M,44,1043252547,27500000,8
이경만,M,50,1037172089,20500000,8
김연태,M,51,1073917927,374600000,3
유호준,M,42,1017816187,53400000,4
강대형,M,70,1038905885,230000000,4
이영원,M,65,1059604175,16100000,8
남영민,F,74,1050379542,842700000,1
한보희,F,34,1088838234,68000000,3
이성대,F,70,1088495357,388700000,2
강용문,M,53,1035960934,31200000,4
최희순,F,48,1054835416,9800000,4
차창호,M,59,1072906263,1300000,9
천종호,M,39,1048339670,9000000,9
신혜경,F,59,1068513501,2300000,7
이완무,M,54,1094432521,20400000,8
양복자,F,60,1089481680,169700000,3
정진혁,M,63,1012550539,12600000,9
최제숙,F,60,1091493664,1800000,7
김동구,M,73,1049430531,50400000,6
김순영,F,75,1070519686,1500000,7
윤성중,M,53,1026699203,19100000,8
김주택,M,62,1018169687,18800000,6
전경자,F,35,1084084663,3500000,8
안정미,F,72,1032601067,1000000,7
유경성,M,73,1040881285,67300000,6
윤미화,F,66,1093267954,20500000,4
박금례,F,47,1075531389,40000000,3
신형조,M,61,1084016645,18600000,3
김영진,F,49,1063140239,255600000,2
