이름,주소,신장,체중,휴대폰번호,학력,직업,월소득
황극원,충북 옥천군 이원면,162,78.6,1061073850,학사,회사원,3075833
엄재만,경기 안산시 원곡동,145,58.7,1064876734,고졸,학생,1239978
배완수,제주 북제주군 한림읍,166,73.1,1061623050,학사,강사,53333
노영용,부산 수영구 광안동,146,70.5,1031306543,학사,강사,2036295
임치구,서울 서대문구 북가좌2동,120,41.1,1049579966,고졸,자영업,81667
조은정,경기 고양시 일산2동,168,88,1049824299,학사,회사원,5041667
민영기,경남 진해시 석동,173,69.5,1044462868,학사,강사,3024167
김병주,경기 고양시 탄현동,134,56.4,1093631811,학사,회사원,6397603
민복기,충북 청주시 사창동,177,74.6,1014452256,중졸,자영업,8067500
박광준,경기 고양시 주엽2동,147,61.1,1026462006,석사,자영업,81667
김영환,경남 진주시 인사동,159,65.5,1033307788,중졸,강사,16667
이정희,대구 북구 매천동,155,89.8,1045872655,전문학사,무직,5797069
박명순,서울 송파구 가락동,179,88,1077263541,전문학사,강사,8010833
정경임,강원 홍천군 화촌면,141,61.1,1058793741,고졸,자영업,8052500
김희배,인천 중구 항동7가,175,90.8,1033640055,석사,회사원,5819328
권미숙,경기 김포시 양촌면,136,68.5,1017464167,고졸,학생,25833
정지영,경기 고양시 백석동,147,57,1033984277,고졸,무직,1021667
김회성,경기 고양시 풍동,151,66,1077365637,석사,주부,3028333
이정만,경기 고양시 성사동,160,64.5,1029852317,중졸,무직,1035000
윤재진,서울 영등포구 여의도동,174,66.4,1051076005,고졸,주부,2384415
이정민,경기 고양시 주엽동,156,73.5,1097236059,석사,강사,42500
이상환,경기 평택시 평택동,152,71,1021399995,대재,주부,43333
신철우,경북 상주시 낙동면,178,72.5,1021747347,대퇴,회사원,3043333
박정숙,경기 김포시 하성면,161,77,1084522019,고졸,주부,8020000
강충구,서울 동작구 사당2동,188,86.1,1023495458,석사,자영업,3054167
유명도,경북 영천시 북안면,165,77.5,1018752775,전문학사,무직,40833
백동석,인천 남구 주안6동,156,64.5,1054986493,기타,무직,1500097
박세현,경기 수원시 영화동,172,84.2,1012524276,대재,자영업,2740460
정동석,경기 파주시 금촌동,163,74.5,1012693206,대퇴,자영업,3045833
이성희,서울 서대문구 충정로3가,173,82,1035827464,대재,강사,35000
정경모,경기 이천시 창전동,172,73.6,1057940467,학사,무직,70000
박미희,경기 부천시 오정동,162,60.8,1071446496,기타,강사,2299824
송정순,서울 서대문구 남가좌2동,136,77.6,1050526063,이학박사,무직,8073333
이택근,경기 평택시 동삭동,166,72.5,1010829587,초졸,자영업,21667
박정분,부산 수영구 민락동,158,87,1091054654,학사,학생,8049167
심현오,서울 성북구 성북동,154,63.5,1029447281,고졸,주부,36667
김선희,경기 고양시 대화동,153,92.6,1098008224,학사,강사,17646907
오상섭,전남 장흥군 대덕읍,167,87.9,1090521882,학사,학생,2854971
박경진,경기 광명시 철산1동,179,89.6,1074777184,석사,자영업,8618946
윤이,서울 노원구 상계5동,174,72.5,1038415076,대재,자영업,8045833
서정순,인천 부평구 부개3동,163,80,1090835268,석사,주부,8012500
유성재,경기 구리시 수택2동,162,89,1086739040,고졸,무직,8030000
노영애,서울 은평구 신사동,170,68.5,1023039260,대재,주부,20000
태이섭,서울 송파구 오금동,170,83.1,1045995950,학사,주부,64167
남진우,경북 김천시 신음동,166,71.1,1056170636,기타,무직,50000
오승진,경남 마산시 양덕동,192,89.6,1038081324,대재,무직,61667
정창진,강원 강릉시 교2동,164,76.6,1076422707,석사,무직,67500
한은혜,인천 계양구 작전동,168,68.5,1050763969,초졸,주부,11667
김명우,경기 안양시 안양3동,168,63.6,1090782429,고졸,회사원,57500
이경섭,경기 고양시 주엽1동,145,63.4,1096492868,대재,주부,2880542
서의원,인천 연수구 옥련동,145,61.1,1049294479,대재,무직,73333
장도춘,서울 은평구 갈현2동,151,55.5,1066403984,고졸,무직,27500
이광순,경남 진주시 상평동,138,50,1056763836,기타,무직,3042500
이명용,충북 청주시 복대동,167,77.6,1014886714,기타,회사원,3058333
서원자,경기 파주시 교하읍,111,36.5,1020592127,대재,무직,3047500
조순례,전북 전주시 삼천동1가,149,66.1,1011550903,석사,강사,66667
김영봉,광주 북구 각화동,170,70.4,1073502035,중졸,군인,2921404
김인숙,경기 부천시 오정동,163,74,1042654522,석사,주부,1011667
김종희,경기 고양시 토당동,174,79,1079966391,석사,주부,8039167
안종숙,울산 남구 야음2동,134,63.5,1077729022,고졸,자영업,20000
오선미,경기 성남시 태평2동,144,66.1,1029466194,고졸,강사,8069167
윤미자,충남 부여군 내산면,181,76.5,1041575312,기타,무직,37500
김동렬,대구 달성군 화원읍,169,81.5,1052092737,전문학사,주부,1037500
이월순,서울 관악구 봉천본동,153,63.1,1035472115,학사,강사,1065000
최명귀,충남 예산군 예산읍,151,74.5,1084813262,기타,회사원,29167
강영순,전북 전주시 효자동1가,164,69,1086140536,이학박사,무직,1028333
이희두,경기 고양시 대화동,152,74.4,1021250593,고졸,자영업,4377380
박용규,서울 강서구 화곡5동,173,87.3,1011610811,학사,회사원,2784662
신현자,경기 고양시 마두동,154,78.5,1060654665,석사,자영업,8019167
김운성,인천 서구 검암동,150,66.5,1085781724,석사,회사원,3031667
이영자,인천 부평구 부평2동,138,60,1022770728,석사,회사원,10019871
원성환,서울 서대문구 연희동,156,56.1,1017637555,학사,자영업,1062500
박원걸,강원 태백시 장성동,148,57.6,1025089235,학사,자영업,50833
박재목,경기 파주시 교하읍,160,73.7,1043148189,학사,회사원,2654950
조재학,경기 안양시 호계동,156,71.1,1095025773,초졸,무직,79167
임영옥,충북 청주시 가경동,160,74,1022054773,고졸,회사원,1031667
이종해,서울 동작구 사당3동,160,82.5,1095190365,석사,자영업,7044167
서옥원,경기 고양시 마두1동,163,64.5,1014513772,석사,강사,1027500
김순낭,서울 강서구 방화동,165,73,1023282189,중졸,강사,1042500
백철인,대구 북구 태전동,149,58.9,1054065441,고졸,주부,3894528
홍완태,경기 고양시 성사동,162,72.6,1032654210,석사,회사원,1065833
김기순,인천 서구 가좌동,163,80.6,1014029352,학사,학생,1078333
이경순,서울 양천구 신월2동,159,81.5,1069236414,석사,주부,7010000
조유례,경기 고양시 장항1동,148,70.1,1060380313,기타,강사,8065833
김영호,인천 서구 석남1동,146,55.1,1080182260,석사,자영업,81667
이태호,경기 안양시 안양3동,151,57,1042875024,석사,주부,9167
김효행,경기 파주시 아동동,147,59.5,1081710481,전문학사,회사원,10833
김묘숙,서울 양천구 신월7동,165,84.5,1065858529,학사,학생,8043333
이미경,부산 북구 덕천동,157,77,1018832210,고졸,자영업,1039171
최병순,울산 남구 야음2동,148,59,1054027221,고졸,자영업,19167
유제자,경기 김포시 양촌면,167,75,1039348340,이학박사,주부,10833
김옥자,경기 김포시 감정동,165,69.5,1093449478,학사,주부,32500
김흥철,강원 삼척시 교동,176,88,1066736897,대재,무직,1034167
유말례,서울 서초구 서초동,169,89,1011384769,고졸,주부,8031667
최종열,서울 성동구 금호동4가,184,80.5,1049600260,대재,자영업,10833
성수옥,경기 고양시 풍동 ,181,88.1,1037284608,고졸,주부,8070833
홍광호,서울 중랑구 면목3동,161,72.7,1076036451,기타,강사,1204997
이정찬,서울 동작구 상도3동,149,83.5,1073226237,석사,자영업,10466549
박정선,충남 서산시 운산면,152,71,1054953610,석사,주부,8018333
이진옥,경기 파주시 탄현면,144,68.1,1046081737,학사,회사원,58333
하만수,울산 중구 동동,161,79.5,1060938074,기타,자영업,1037500
손용택,경기 성남시 상대원1동,168,78.5,1024997989,대퇴,자영업,7008333
신창환,경기 성남시 태평동,156,69,1060508645,대재,자영업,23333
이옥녀,광주 광산구 동림동,168,77.9,1061399399,대재,회사원,1926917
이성실,경기 고양시 토당동,185,92.5,1089853289,대재,주부,8015833
배선복,대전 서구 둔산동,165,79.1,1065087774,대재,자영업,8064167
오경,경기 고양시 마두1동,165,69.6,1025703944,고졸,무직,7050000
이순심,강원 영월군 영월읍,138,62.6,1073390079,고졸,학생,1077500
박인옥,서울 도봉구 쌍문동,141,60.5,1014973000,학사,무직,8020000
함덕인,부산 금정구 부곡4동,161,55.6,1022657949,석사,무직,75833
김숙희,인천 계양구 계산4동,142,65.5,1010996990,기타,주부,16667
조동석,서울 송파구 거여동,167,76.1,1052028223,대재,학생,1055000
김복배,경기 고양시 사리현동,156,68,1089574697,학사,주부,9167
이철한,광주 서구 화정4동,158,68.5,1012268354,대재,무직,3019167
강태열,전남 목포시 옥암동,181,88.5,1043381677,학사,학생,1031667
오광진,경기 고양시 주엽2동,149,71.5,1011422191,고졸,무직,43333
송영임,대전 동구 가양1동,140,51.1,1038662784,고졸,무직,60000
문정현,경기 이천시 마장면,143,69.5,1085379065,대재,회사원,8049167
남필녀,부산 부산진구 개금3동,153,77,1032249663,고졸,자영업,8470375
권상국,경기 김포시 북변동,173,79.6,1068533310,학사,무직,1064167
최영임,경기 동두천시 생연2동,117,64.6,1034139029,고졸,회사원,8059167
박병열,서울 강남구 신사동,170,74.1,1082772280,석사,회사원,1068333
송재육,경기 연천군 미산면,151,65,1016475610,석사,자영업,1030000
유경애,서울 양천구 목3동,110,49.5,1099068512,중졸,자영업,1037500
김길평,서울 용산구 이촌1동,170,73.9,1016052062,대재,주부,2417591
김옥대,경기 고양시 화정동,134,55.1,1061704455,대재,회사원,54167
이정자,경기 안산시 원곡동,173,75.5,1027271984,석사,주부,40833
이정구,경기 동두천시 생연동,167,67.5,1059571653,학사,계열사직원,1025000
김도언,부산 사상구 덕포1동,170,81.5,1018265288,대퇴,회사원,48333
최혜숙,경기 김포시 북변동,144,83.9,1051100332,학사,무직,9397176
이순희,경기 파주시 교하읍,140,59.1,1012477013,학사,회사원,8079167
고영필,경기 고양시 마두1동,169,87.5,1074395238,학사,자영업,1012500
이정임,서울 은평구 수색동,144,62,1085201571,학사,무직,7012500
최기수,서울 송파구 잠실7동,142,67,1078696286,이학박사,주부,1036667
남궁창원,경기 고양시 일산1동,165,74.2,1093164186,대재,강사,3151664
최정규,인천 서구 불로동,160,72.1,1038091485,대재,학생,68333
임보래,경기 파주시 문산읍,151,71.1,1064947945,고졸,자영업,8073333
박점희,충남 천안시 목천읍,169,87.5,1040588854,전문학사,회사원,8020000
주혜경,경기 파주시 교하읍,150,70.6,1020692034,석사,학생,8058333
정명옥,경기 부천시 도당동,162,71.5,1032311573,대재,주부,1990744
김명옥,제주 제주시 한림읍,162,71,1078365436,학사,주부,35000
홍상표,전북 군산시 경암동,172,74.5,1035988350,대퇴,자영업,3030833
염미경,경기 파주시 교하읍,120,48.6,1015748450,학사,전문직,8061667
변인숙,경기 안성시 도기동,150,84.1,1068433563,고졸,학생,8050833
박종국,경기 부천시 역곡동,163,73.6,1043153425,석사,무직,5059997
이순옥,경기 안양시 석수3동,168,72,1078242543,대퇴,강사,8025000
김용완,경북 칠곡군 북삼읍,159,75.6,1063811388,전문학사,무직,1055833
양은혜,경북 포항시 흥해읍,136,59.5,1088286778,기타,주부,8036667
고광우,경기 고양시 주엽동,173,65,1033170579,전문학사,자영업,4042522
황재연,경기 고양시 마두1동,153,69.1,1067515026,학사,전문직,60833
박충현,대구 남구 봉덕2동,145,67.5,1073355868,학사,무직,1045833
변태선,충북 청주시 모충동,162,78.1,1055386600,석사,무직,8075000
안인자,경기 고양시 대화동,178,82,1041758358,대재,회사원,8027500
이영석,경기 고양시 화전동,164,67.6,1039130603,중졸,무직,1075000
황은숙,경기 평택시 지산동,149,65.6,1025388504,기타,학생,3080000
박문수,경기 고양시 일산3동,150,70.9,1047862469,고졸,무직,6888493
박길자,광주 광산구 내산동,146,63.5,1028184787,석사,강사,3015000
이영인,경기 의왕시 청계동,160,72.5,1023533579,전문학사,무직,8010000
김기옥,서울 관악구 신림1동,138,54,1021179223,고졸,강사,1009167
김기선,경기 고양시 주엽동,171,86,1021570539,고졸,자영업,8039167
이명숙,경기 고양시 덕이동,150,72,1096987128,초졸,무직,8017500
윤은주,전남 영암군 삼호읍,137,68.5,1017119606,학사,주부,1035833
오순자,서울 성동구 도선동,166,86,1013822104,고졸,무직,1036667
마수진,경기 김포시 대곶면,173,90,1048279180,전문학사,무직,7010000
이병용,서울 영등포구 영등포동,157,63.5,1097973158,중졸,회사원,3536446
이산종,경남 창원시 신월동,153,77.1,1015329744,고졸,자영업,4078404
이윤정,광주 북구 두암1동,174,77,1034539321,고졸,주부,35833
박갑임,경북 영주시 풍기읍,169,81,1036113377,석사,강사,38333
심행운,충북 청주시 수곡동,149,79.5,1099747295,고졸,무직,8037500
신희숙,경기 고양시 마두동,160,75.1,1076734616,대퇴,학생,8075000
윤선용,경기 안양시 안양3동,112,46.5,1087789814,학사,주부,3020000
홍정자,경기 고양시 일산4동,127,47.1,1015122795,학사,자영업,1050000
고표상,경기 용인시 신봉동,119,46.1,1050305120,학사,무직,3065000
주분순,충남 아산시 좌부동,157,79.5,1085194246,학사,자영업,8019167
정삼재,경기 의정부시 신곡2동,165,60.6,1039807862,해외유학,자영업,56667
김태환,경기 의왕시 오전동,132,65.3,1064735527,학사,자영업,4311773
전애녀,서울 강서구 내발산2동,158,64.6,1061624361,고졸,자영업,2131961
김덕훈,서울 종로구 구기동,157,73.1,1090342458,대재,주부,5073333
강영욱,경남 거창군 거창읍,163,80,1060600967,기타,주부,36667
제갈귀출,서울 동작구 신대방2동,155,83.1,1012899203,대퇴,계열사직원,8066667
박공남,대구 달서구 진천동,163,61.5,1040555192,기타,학생,1037500
원영길,인천 서구 가정2동,150,74.5,1029350842,대퇴,무직,3030833
김호영,경기 수원시 조원동,137,61.6,1026369452,기타,주부,1629752
황도인,전남 장성군 황룡면,152,54.1,1094893903,학사,주부,1055833
김화자,경북 포항시 용흥1동,142,48.5,1040637383,대퇴,자영업,1035833
배복희,대구 달서구 송현2동,170,90,1027144915,고졸,학생,10004207
곽창온,경기 남양주시 수동면,170,77.5,1036413668,고졸,자영업,1035000
정우환,경북 포항시 해도1동,176,80.2,1010872434,고졸,자영업,4668230
김명숙,서울 강남구 도곡2동,178,90.4,1040302794,학사,무직,10898315
이재두,경기 시흥시 장곡동,151,52,1065345617,학사,무직,42500
조양희,강원 춘천시 석사동,166,86.1,1037667041,기타,무직,8070000
김종열,서울 은평구 응암동,163,65.5,1018489592,초졸,주부,22500
김옥자,경기 고양시 마두동,156,73.6,1019450126,대재,자영업,1100562
김석중,경북 칠곡군 석적면,146,71,1072910538,고졸,회사원,1025000
고춘화,경기 성남시 야탑동,164,86,1091905042,학사,무직,8038333
이종범,강원 원주시 태장동,139,64.5,1017515322,고졸,자영업,45833
노의성,서울 도봉구 창1동,145,47.6,1049136421,대퇴,주부,51667
이금예,경기 안산시 신길동,177,76,1045503244,대재,주부,1016667
안금순,인천 남동구 만수4동,151,68,1044727696,학사,주부,3547679
신상훈,전남 목포시 용해동,133,66.5,1094743348,고졸,회사원,4527393
정복순,경기 고양시 가좌동,166,91.5,1079339713,대재,무직,8021667
김영안,경기 고양시 성사동,155,70.6,1032246236,기타,자영업,1052500
이미화,울산 북구 천곡동,157,84.5,1079518759,기타,주부,8025833
이을석,서울 마포구 신공덕동,180,87.5,1066134920,고졸,주부,1036667
박계순,경기 고양시 일산2동,152,78,1053653946,중졸,주부,8044167
김인숙,경기 안산시 사2동,155,63,1053552964,대재,회사원,33333
정작백,경기 파주시 검산동,166,81.5,1031781478,학사,자영업,8046667
정길자,서울 성북구 하월곡동,160,69.6,1062372448,석사,무직,75833
김복례,서울 동작구 본동,169,86.3,1046676376,대퇴,무직,9307504
유관종,경기 고양시 화전동,148,73.6,1078961565,고졸,주부,9568185
김갑순,경기 고양시 마두동,155,75,1039730077,기타,무직,8048333
김정혜,경기 고양시 일산1동,138,66.1,1064764140,중졸,자영업,8070833
장경운,경기 의왕시 내손2동,150,55.1,1042704991,기타,자영업,75000
장금숙,경기 고양시 주엽동,141,63,1099586786,초졸,자영업,1019167
강미옥,서울 광진구 자양2동,158,79.6,1040936665,고졸,주부,1079167
이점재,서울 서대문구 연희동,166,75.4,1045945251,중졸,학생,1910375
전현옥,경기 파주시 교하읍,146,57,1020396313,고졸,학생,8048333
김용재,인천 부평구 산곡3동,138,64.1,1058841541,이학박사,무직,53333
권정자,충북 옥천군 옥천읍,161,72.5,1019426552,대퇴,학생,1040000
최현경,인천 부평구 산곡동,184,89.6,1057135014,석사,강사,8082500
장향숙,서울 송파구 신천동,165,81.4,1034797911,전문학사,자영업,8899279
원규순,서울 강동구 고덕2동,156,57.6,1085370658,석사,자영업,1065833
이준호,경기 고양시 마두1동,161,79,1099003568,전문학사,학생,8029167
김종안,대전 대덕구 송촌동,116,55.3,1018451101,고졸,주부,4255512
연계해,서울 성북구 성북2동,175,80.5,1064862161,석사,자영업,1035833
성현심,서울 은평구 갈현동,123,53,1042112063,석사,자영업,40833
류성재,서울 서초구 방배동,151,82,1036694929,중졸,자영업,1035833
장공기,충남 공주시 사곡면,142,56.6,1075547495,대재,강사,60000
권호현,부산 해운대구 좌동,140,60.9,1076616634,석사,회사원,895912
정팔암,광주 북구 운암동,133,54.6,1050913506,기타,주부,1069167
정영계,경기 이천시 중리동,152,75.5,1025332585,대재,학생,8021667
조봉자,울산 동구 일산동,167,83,1091591462,대퇴,자영업,8048333
권순자,서울 은평구 신사동,148,69.8,1039422790,학사,학생,12837223
공수진,경북 영주시 하망동,161,75.6,1049476393,대퇴,무직,55833
박건호,서울 광진구 자양동,161,80.8,1082195957,학사,전문직,1254726
김영대,경기 안양시 박달동,128,61,1054862939,대재,주부,1039167
이영화,서울 노원구 공릉1동,164,79.6,1091607442,학사,무직,9632699
윤재숙,경북 영천시 금호읍,164,71,1064067508,고졸,주부,8027500
서성순,경기 성남시 구미동,167,72,1070065631,전문학사,자영업,1016667
이만수,인천 계양구 다남동,153,64.5,1055486698,고졸,회사원,3018333
이원조,충남 천안시 성정동,137,73.5,1082579233,학사,주부,2507743
이병훈,대전 서구 관저동,154,73.6,1089259953,초졸,무직,60833
김금순,충남 당진군 합덕읍,171,80.5,1084328160,학사,학생,8008333
이희복,서울 양천구 신정1동,172,85.6,1047203837,중졸,학생,57500
김정순,경남 함안군 함안면,174,78.6,1045183045,학사,회사원,8057500
원회연,서울 동작구 신대방1동,146,68.1,1056698043,석사,자영업,75000
최재원,경기 성남시 성남동,143,58.1,1053453553,석사,무직,65000
강분숙,경기 파주시 탄현면,127,56.5,1021452170,고졸,회사원,15000
김연임,경기 안양시 평촌동,153,61,1060588644,대퇴,자영업,8037500
조선행,경남 통영시 북신동,155,80,1011482331,고졸,자영업,45000
최경화,경북 경주시 충효동,164,81.1,1011430957,기타,무직,3081667
최남순,서울 동대문구 장안2동,171,86.1,1024472022,대퇴,강사,8079167
이한도,서울 강서구 내발산동,139,69.6,1063326350,석사,자영업,1071667
신태선,울산 남구 삼산동,161,67,1016997999,학사,주부,1010000
한민자,서울 강남구 압구정동,157,78.5,1040637458,기타,회사원,1042500
장재영,대구 달성군 옥포면,128,58.2,1061161051,고졸,자영업,11183435
신명수,경기 안산시 원곡동,139,67.5,1062162625,학사,회사원,1047500
김직순,서울 양천구 신정7동,168,72.6,1035483103,전문학사,주부,8080000
진명례,경기 김포시 장기동,147,74,1095409440,대재,강사,8012500
김순열,대구 북구 동천동,147,62.1,1070781805,고졸,무직,1648086
김정우,부산 사상구 주례2동,147,64.1,1040316187,석사,자영업,67500
최병래,경북 상주시 낙양동,165,65,1087556207,고졸,주부,35833
박명심,서울 강남구 논현2동,172,94.1,1048303341,고졸,자영업,5057500
김덕심,대전 대덕구 법동,169,77,1012489184,대퇴,자영업,13333
임숙자,경기 고양시 덕이동,157,67.5,1022711411,중졸,자영업,8036667
김영희,서울 양천구 신월3동,155,72.5,1025581885,대퇴,무직,10523530
김진원,서울 서초구 방배2동,155,67.1,1026456012,대재,회사원,55833
박인호,경기 고양시 풍동,171,87.1,1035871860,기타,회사원,70000
최영관,경기 고양시 일산1동,168,81.1,1025447418,석사,주부,6614373
현종구,인천 강화군 강화읍,150,63.1,1015371926,기타,무직,1050833
노병근,전북 남원시 조산동,168,80.5,1093260337,전문학사,주부,7018333
엄다한,인천 서구 신현동,150,66,1027858818,초졸,회사원,5010000
탁정숙,경기 파주시 파평면,175,85.1,1021891692,석사,무직,11112069
김순경,경북 상주시 사벌면,173,73.6,1098417133,전문학사,자영업,2108989
서희숙,충북 청원군 강외면,179,83,1034712386,전문학사,무직,8033333
박손순,경기 김포시 북변동,157,79.5,1082854513,고졸,무직,8035000
고계월,서울 서대문구 홍제2동,178,79.9,1097311117,대재,자영업,10361448
김기태,서울 중구 회현동1가,165,66.9,1078671837,고졸,자영업,2378085
박주용,전북 전주시 삼천동1가,176,67,1079560600,학사,주부,1015833
홍의선,경기 고양시 탄현동,145,62.9,1046667805,학사,자영업,2855651
윤보근,서울 용산구 이촌1동,156,69.9,1023906045,대재,자영업,3885175
이광우,경기 구리시 수택동,174,81.1,1044299428,대재,무직,3072500
조연상,경기 고양시 탄현동,144,71.1,1064656522,고졸,자영업,65833
강영자,충남 청양군 청양읍,143,54,1097347612,석사,주부,8035000
김형문,경기 화성시 석우동,147,62.1,1084326137,대재,무직,1067500
김순봉,서울 은평구 갈현동,114,53.5,1082977159,대퇴,자영업,1047500
김상조,광주 서구 상무2동,176,67,1030747832,고졸,무직,1020000
구용순,인천 남동구 간석1동,172,73,1055630752,석사,회사원,1025833
임선자,광주 남구 진월동,174,80,1058904270,고졸,회사원,46667
변계분,경기 고양시 일산3동,182,85.1,1025797366,석사,자영업,1050833
안정애,대구 달성군 화원읍,140,83.5,1097063751,기타,회사원,15511468
안노수,서울 노원구 공릉동,140,50,1082985936,고졸,회사원,14167
이태우,서울 강서구 화곡8동,161,80.1,1047350602,전문학사,강사,1076667
남주북,서울 중랑구 묵1동,156,59.5,1047400492,학사,무직,26667
정월임,경북 포항시 동해면,171,79.7,1053020258,고졸,전문직,10247458
이영정,경기 고양시 장항1동,171,84.5,1073822244,학사,자영업,1009167
나희창,경기 고양시 가좌동,164,66.5,1037358062,기타,강사,10833
정한수,서울 은평구 갈현2동,164,72.4,1066348453,고졸,주부,8358009
최숙희,대전 중구 문화동,173,92,1037860918,기타,전문직,8038333
윤영희,서울 동대문구 이문3동,167,73.1,1018447525,고졸,회사원,10132079
이두옥,경기 파주시 문산읍,175,80,1072996379,전문학사,무직,30000
박정자,강원 강릉시 사천면,155,73.5,1089333379,학사,학생,8030833
최한영,전북 군산시 나운2동,172,74.5,1090920125,학사,강사,1030000
안대용,경기 동두천시 생연동,135,59,1021661827,고졸,학생,1030833
변복녀,경기 고양시 일산2동,153,63.5,1089519503,기타,주부,25833
차선희,서울 송파구 거여동,159,75.1,1012725587,고졸,회사원,8059167
허인순,전북 익산시 부송동,171,74,1092027270,학사,강사,27500
심영애,전남 무안군 청계면,158,68.6,1067081390,대재,자영업,8051667
권상만,서울 금천구 시흥5동,167,64.5,1066396281,대퇴,자영업,3028333
김현진,강원 춘천시 퇴계동,174,80.1,1083980715,공학박사,학생,9093137
장경숙,서울 서초구 서초3동,161,84.4,1063134565,전문학사,전문직,9910769
윤원숙,서울 송파구 문정2동,162,70.1,1074400304,석사,강사,66667
김재필,서울 중구 중림동,145,57.5,1055719264,고졸,학생,1039167
신경현,경남 마산시 월남동,158,68.1,1068460850,대퇴,전문직,1050833
김영최,서울 서대문구 연희3동,142,66.6,1038329136,대재,강사,2550145
용석기,경기 고양시 화정1동,170,73,1088073014,석사,강사,23333
최근웅,서울 강서구 등촌2동,152,62.5,1097226463,기타,강사,21667
이진석,서울 광진구 노유2동,176,70.1,1075737867,중졸,주부,1081667
장정순,대전 유성구 구암동,140,70.7,1036875218,대퇴,회사원,3701577
