IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int,total_float,total_int1,total_int2,total_int3
11,김준영,대전광역시 마포구 석촌호수520길 (지혜김남리),69887,윤황김,도금 및 금속분무기 조작원,054-438-****,ijeongho@hotmail.com,yeonghogim,172.19.222.170,5425023768831727,1980-05-25,70,1.38788,188588,279,8351
12,김서윤,제주특별자치도 용인시 가락404길,61019,권송,보육 교사,043-978-****,gimyeonggil@hanmail.net,junyeong06,192.168.3.228,213141580234958,2009-01-22,25,4.54159026272,864387,132,5650
13,이예진,부산광역시 노원구 오금로,69002,(주) 이,승강기 설치 및 정비원,018-264-****,dohyeonbag@yuhanhoesa.com,nsim,192.168.73.159,565015231295,2017-07-12,54,2.55151542301,121254,905,8571
14,장미정,울산광역시 양천구 양재천길 (서연이장읍),28923,이이김,웹 개발자,063-010-****,jeongja21@ju.net,idonghyeon,172.29.142.157,3523775471084524,1976-01-09,58,4.69764231491,764177,382,3804
15,김준서,서울특별시 종로구 압구정36길 (숙자이읍),13540,유한회사 최,가전제품 설치 및 수리원,016-849-****,geonu54@daum.net,sbag,10.124.198.63,38178462748237,1997-10-08,96,2.6663080435,412329,159,4334
16,김서윤,세종특별자치시 강동구 테헤란940로,47522,(주) 박황고,법무사 및 집행관,063-120-****,jia45@jangigim.com,sugja60,10.123.173.224,4533676129014,1987-10-18,79,2.7102104,276225,755,2712
17,박지아,전라북도 홍성군 잠실3거리,88497,윤김,모피 및 가죽의복 제조원,042-286-****,yunseonghyeon@hotmail.com,eunyeong67,192.168.159.114,213146905695379,2007-09-18,29,1.64275323,867841,859,4702
18,고도현,충청남도 김포시 봉은사699거리 (영순강면),10632,주식회사 송,경비원,062-009-****,hjang@dreamwiz.com,bagsangho,192.168.255.248,4320878083275580,2018-09-27,73,8.8465,262470,83,1719
19,김예진,경상남도 용인시 가락5거리,19455,정이권,내선전공,010-4540-****,ri@gmail.com,ijinu,192.168.90.66,4474871498661621,2018-01-22,13,8.88126,533782,543,5839
20,한지연,경상북도 옥천군 압구정1길,39724,주식회사 김박엄,승강기 설치 및 정비원,070-8417-****,lhwang@gimjogim.com,jongsu31,10.141.151.87,4053657793944956045,2013-05-15,69,5.2665565,166470,568,6424
21,나수민,대구광역시 북구 강남대44길,60946,(유) 이,하역 및 적재 단순 종사원,019-705-****,gweonjihyeon@yu.net,junyeongcoe,10.69.23.105,4510713504649,2012-11-08,72,6.17526913,615464,350,2301
22,황서현,경상남도 용인시 처인구 선릉길 (은지박마을),74866,유한회사 김,재봉사,032-878-****,gimyeongmi@gimi.kr,ti,10.66.114.79,180040602147942,1970-01-13,33,6.3,198829,624,3499
23,김성현,경상남도 강릉시 석촌호수가 (미정장정면),53808,유한회사 김이이,응용 소프트웨어 개발자,041-877-****,seunghyeon33@live.com,eunseocoe,10.231.219.32,6592065056948031,2015-07-08,18,7.4008283435,730727,354,6534
24,김하은,강원도 안양시 도산대3로,65523,(유) 박,발전 및 배전장치 조작원,070-4331-****,eungyeongryu@hotmail.com,ijuweon,10.56.2.171,2704180598793755,2007-06-26,80,1.40002894,275142,616,2145
25,허재현,부산광역시 성동구 서초대9거리,7299,(주) 이김이,기타 기술영업 및 중개 관련 종사자,070-6228-****,sujin02@nate.com,hi,192.168.102.32,4499789987821602831,2005-09-26,85,2.9216,739767,691,6567
26,박정수,충청북도 의왕시 개포28가,40787,주식회사 박이김,과실 및 채소 관련 기계조작원,010-9475-****,ogsun40@hanmail.net,yeonggil37,192.168.13.15,2275200597099126,1986-09-24,26,6.3680538558943,358375,822,2519
27,권미숙,세종특별자치시 동작구 반포대8로,98445,송서,생산 및 품질 관리 사무원,011-980-****,zi@hanmail.net,jihye43,172.25.80.71,378978253477013,2008-12-04,60,5.687908416,395677,11,1746
28,오현준,강원도 괴산군 석촌호수8길 (영길황면),42526,유한회사 이김이,소방관,061-982-****,migyeong16@hotmail.com,eungyeong17,172.22.107.130,3533190596533447,1995-02-22,54,4.96871404207794,755731,429,831
29,박진호,전라남도 성남시 테헤란길 (예준김리),28420,송성양,경찰관,061-649-****,sumin27@gimgim.kr,myeongsug90,10.141.199.95,4609517266312,2006-01-27,47,8.98417037573394,319022,127,4632
30,권서영,광주광역시 송파구 언주로,65413,김고,기타 제조관련 기계 조작원,053-980-****,seoyeongyun@gimgimgim.kr,jeongsug84,172.21.218.130,676197027169,2004-08-18,30,3.42731959,446179,406,6801
31,김민준,전라북도 화성시 역삼가,30547,김김이,홍보 도우미 및 판촉원,019-837-****,jia58@gimcoegim.kr,gimyejin,192.168.153.28,4736889755075,1982-05-08,89,7.4074112,399699,127,3985
32,김경숙,대전광역시 금천구 언주길 (영호김마을),22699,(주) 박서손,바닥재 시공원,063-701-****,bbaeg@hotmail.com,iyeongsu,172.17.241.253,4503556074812,1991-06-20,52,2.6064,739209,688,2914
33,이도윤,충청북도 정선군 영동대길,8658,이유,간호사,016-001-****,wbag@daum.net,gwangsu92,172.27.77.139,36521022605250,1998-01-04,73,7.162487855382,604175,313,2271
34,박서현,충청남도 천안시 서북구 석촌호수길,41269,한김이,기타 스포츠 및 레크레이션 관련 전문가,041-781-****,iyeongsug@yu.kr,yeeun09,192.168.220.227,3580829095435990,2000-09-16,86,6.57,523469,99,3781
35,박지연,경상남도 안산시 상록구 봉은사83길 (예준안읍),79082,(유) 성,금형원,051-606-****,pi@imunyun.com,ajo,192.168.21.32,30038286069186,1981-09-09,73,8.6175404,688632,408,2610
36,노지연,대전광역시 금천구 테헤란로 (현주박면),29102,유한회사 배최박,수금원,031-000-****,jieun38@yuhanhoesa.kr,jeongsun24,172.26.94.159,36508546534009,1990-02-15,74,6.41,894274,256,4934
37,김예지,서울특별시 동구 영동대로,79435,(주) 이김주,점토제품 생산기 조작원,062-198-****,vbag@naver.com,yeongjin15,172.25.0.110,4201169444568936287,2007-03-05,44,3.29,367345,831,1445
38,김정웅,광주광역시 구로구 석촌호수길 (정남최김읍),6185,권장,떡제조원,052-378-****,gwangsu15@live.com,ojihu,192.168.79.93,675940920068,2016-04-30,27,2.6008163,69523,901,640
39,장주원,강원도 용인시 기흥구 가락1로,2165,이이,주유원,033-017-****,dbag@yuhanhoesa.kr,jinyeji,172.17.95.71,6501023700901476,2012-12-25,15,3.19697514576232,724529,548,1831
40,최민지,대전광역시 송파구 잠실872로 (서윤김박읍),14269,박주,조경원,042-267-****,di@gimi.kr,jieun24,172.30.136.96,501820777255,2008-01-24,69,3.19,645687,610,1018
41,장동현,서울특별시 강남구 잠실로,61773,백김,약사 및 한약사,062-163-****,gimminseo@gimsongi.kr,yejun11,172.19.152.83,30458978209389,1995-01-26,37,4.6228956,556596,459,6025
42,류미숙,전라북도 부천시 오정구 개포거리 (성진남리),46972,(유) 김류백,철로 설치 및 보수원,063-819-****,simseungmin@gmail.com,jinho91,10.20.242.76,3544956280079823,1972-09-13,58,7.3919085,879193,986,3036
43,서민재,경기도 여주시 서초중앙가,25979,이홍황,플라스틱제품 생산기 조작원,052-599-****,sjeon@hotmail.com,gimeunseo,172.19.190.181,36382600036958,1971-04-30,67,2.310263168984,261588,64,9633
44,김준호,제주특별자치도 천안시 동남구 오금로,61620,홍최,경비원,033-469-****,lbag@live.com,jiu42,172.19.107.209,30283162484147,1999-08-20,49,3.43,375189,60,2923
45,오상철,서울특별시 관악구 선릉2길 (서준박리),19590,유한회사 최,광고 및 홍보 전문가,055-248-****,hanjunyeong@gmail.com,eungyeong13,192.168.42.121,3570948524579434,1999-06-28,60,2.0,657306,710,8302
46,서진호,강원도 성남시 도산대거리 (은영황오동),40035,(주) 이이김,건설 및 광업기계 설치 및 정비원,055-767-****,xi@yu.org,gimyeongho,172.27.161.220,4673919869740455,2004-12-08,66,3.9099418562796,914867,724,2298
47,김지혜,대구광역시 관악구 논현가,95982,이손김,국가/지방 및 공공행정 사무원,044-682-****,jungsu72@coehwanggang.org,ji,172.17.134.93,349477038324984,1995-07-29,21,2.2712892,269886,889,5221
48,이상호,경상북도 가평군 영동대944가 (현숙김마을),85267,이김최,시스템 소프트웨어 개발자,010-9877-****,minseog38@hanmail.net,hyeonjibag,192.168.99.241,3500539837039631,1999-06-27,34,6.6016498147303,589385,269,8259
49,이준혁,경기도 충주시 반포대로,75010,구지손,건설 및 채굴 기계 운전원,011-050-****,coejungsu@nate.com,yunseoyun,10.127.115.95,4949324644859,2014-07-16,99,1.764805,285991,720,3793
50,이영희,강원도 청주시 상당구 언주거리 (현준김이읍),39944,유한회사 이,농업용 및 기타 기계장비 설치 및 정비원,051-353-****,hyeonju92@live.com,qgim,192.168.106.135,4645416100214593,1988-10-21,52,8.76355367,820420,194,1741
51,안우진,경기도 수원시 장안구 역삼0길 (준서양리),89985,유한회사 박,직업 운동선수,054-713-****,yeongceoljang@nate.com,gimyeongsu,172.25.151.240,3552309414283177,1976-02-08,28,4.73935947,706514,593,4661
52,윤현우,충청북도 안양시 만안구 테헤란35로 (시우이강동),98483,윤김,금속공작기계 조작원,064-719-****,seonghyeon52@baggimbae.com,ngim,172.18.113.30,6011050840132780,1971-05-14,35,3.7,321175,319,3610
53,김은서,충청남도 김포시 가락75거리,26019,(주) 윤신김,숙박시설 서비스원,044-278-****,ugim@yu.com,minseog80,172.24.146.61,2438112514827329,1985-08-10,95,6.932716686108,237270,52,876
54,이정훈,경상남도 양구군 테헤란길,50959,박백,식품/섬유 공학 및 에너지 시험원,017-731-****,kjin@hotmail.com,gi,172.25.174.67,3567542492431788,2013-02-09,97,3.3643517995845,437601,29,7163
55,한진호,울산광역시 성동구 잠실308거리 (서영민마을),17236,유한회사 이박이,생명과학 연구원,041-856-****,gyeonghyi36@nate.com,iyeji,10.179.157.171,4778075371465,1993-10-07,73,5.3456725,465013,458,2163
56,한예원,충청북도 하남시 양재천길 (진호이김읍),52908,장김,항공기 조종사,033-967-****,hajeongsu@ju.kr,hbag,10.118.54.179,6577332995119002,1987-11-15,34,8.36,256032,216,448
57,이성진,인천광역시 성북구 가락길,81733,김이박,연구 관리자,031-595-****,bagjaehyeon@jusighoesa.com,bbag,10.100.154.159,4684678222526301,2017-04-28,33,5.4562187,518396,568,8833
58,김하윤,광주광역시 강동구 서초중앙로,76790,이정,컴퓨터 강사,033-967-****,eunyeonggim@hanmail.net,yunyejun,172.30.26.61,6011482772999128,1990-09-01,88,7.7867,719174,218,3195
59,이민수,경기도 계룡시 테헤란거리,79377,박류민,표백 및 염색 관련 조작원,010-1088-****,eunyeonghan@dreamwiz.com,caeweono,192.168.103.0,3578883797009813,1984-12-09,19,4.453582326375,738790,101,7454
60,김옥자,경상북도 의왕시 선릉232길,79412,유한회사 백장양,기타 배달원,062-963-****,munyejun@hani.com,junhocoe,172.16.80.47,2236977761402487,1997-03-26,7,4.6742093,514136,259,5272
61,김순옥,서울특별시 관악구 테헤란035가 (병철신김리),80260,(유) 이백박,소방공학 기술자 및 연구원,016-620-****,gimhyeonji@yu.net,lgim,192.168.15.245,180043050507377,2013-07-31,58,5.675,736457,814,6389
62,조재호,부산광역시 중랑구 양재천거리 (예진장조읍),84697,(유) 김김이,단조원,043-874-****,sangceol76@yu.com,gyeongsu24,192.168.51.0,4716349168445243,2017-12-09,68,2.49,747273,82,5619
63,성미경,인천광역시 동작구 개포가,14555,(주) 배이이,일반기계 조립원,063-810-****,ni@live.com,jiyeong00,172.17.75.87,60461537429,2011-04-07,18,3.730311798,575325,354,4286
64,류채원,대전광역시 용산구 압구정1로 (민수김마을),55317,주식회사 서서김,조적공 및 석재 부설원,019-253-****,wo@dreamwiz.com,jungsu84,172.25.21.55,2719977277552508,1988-08-19,73,1.64,190408,798,3262
65,김영호,세종특별자치시 마포구 학동가 (옥자박최읍),85023,이윤,통신서비스판매원,032-240-****,pi@hanmail.net,jihuni,192.168.129.83,4999580028957752692,2000-01-04,97,2.3,607987,761,1087
66,이경수,충청남도 안산시 상록구 선릉길,92974,박김박,농림어업관련 단순 종사원,053-470-****,mjang@hotmail.com,yeonghwangwag,10.81.112.174,343072955077107,2001-11-28,35,1.60712301525915,487292,670,9461
67,이승민,광주광역시 도봉구 백제고분거리 (민준김박마을),53557,권한,문화/예술/디자인 및 영상관련 관리자,063-596-****,hanjeongung@naver.com,doyungim,172.24.57.144,4746846710215879,2011-12-24,12,4.743,813706,665,600
68,김영환,울산광역시 동작구 서초중앙6길 (예준김읍),71052,(주) 이최김,금속공작기계 조작원,032-801-****,gimjunyeong@hanmail.net,ryumijeong,10.200.148.96,5119236492794364,1985-08-03,31,3.20694747645,800183,444,2987
69,양서현,부산광역시 남구 테헤란414가 (영희이윤동),59590,박김,자동차 조립원,032-333-****,hyeonju58@nate.com,gimsubin,10.215.116.211,4547512357343652,1983-06-15,65,6.44490668,698880,47,4235
70,한민지,서울특별시 영등포구 서초중앙18로,38217,(유) 조,바닥재 시공원,019-927-****,gimhyeonju@hotmail.com,yeongja15,172.19.99.167,213154978714176,2012-01-09,86,8.1273069485,514920,674,5236
71,이영환,제주특별자치도 음성군 개포53거리 (도현이이마을),70998,(유) 이,상품 대여원,053-923-****,dohyeon19@gmail.com,seonghuni,192.168.186.33,379805797976821,1997-03-03,36,8.885318309167,108187,825,7055
72,김수진,강원도 횡성군 언주로,90262,이박,마술사 및 기타 문화/ 예술 관련 종사자,055-558-****,myeongsug23@seogimyang.kr,sbag,192.168.142.169,568928269154,1989-08-25,82,1.547052827,653282,922,4189
73,이정순,충청남도 춘천시 선릉5가,31552,주식회사 윤,보험 및 금융 관리자,011-322-****,phwang@naver.com,tgim,172.26.149.1,676153173429,2006-11-01,17,1.446299,317014,904,2420
74,윤지민,부산광역시 영등포구 테헤란22가,89217,정김김,금속공작기계 조작원,051-812-****,yeeun90@naver.com,jiweon34,192.168.137.218,3520854385267914,1993-04-15,53,2.3,436112,43,2683
75,김성훈,충청북도 태안군 논현841로 (민수김마을),57812,주식회사 송,출판물 전문가,053-359-****,mgim@gimgangi.com,siu56,192.168.105.198,3545276955088150,1988-06-06,3,4.28,222245,733,5807
76,차명숙,부산광역시 남구 도산대거리,14721,강배,기타 건축마감관련 기능 종사원,055-342-****,gwagjeongsu@daum.net,hyeonjun53,192.168.168.59,4708719594644,1990-03-02,39,8.3786611593163,543872,234,5951
77,윤은서,서울특별시 동구 서초대길 (정웅이면),97780,김박김,영상/녹화 및 편집 기사,054-093-****,xi@iyang.kr,gimgyeonghyi,192.168.70.79,349525543549220,1977-04-30,21,2.239343896199,76883,548,4926
78,엄광수,서울특별시 성동구 봉은사가,27124,(유) 김,미용사,062-289-****,seungminsong@hotmail.com,ieunjeong,172.31.12.113,4155462214852922349,1981-02-08,47,2.2238886,142958,133,2925
79,이우진,충청북도 성남시 수정구 가락로 (성현김리),75157,김김,,055-024-****,hyeonsugryu@live.com,gimjieun,10.234.187.108,502075956214,2006-12-22,65,8.230217684444,569663,521,1593
80,이수진,충청남도 음성군 강남대410가 (상철고읍),89815,유한회사 권이김,기타 기술영업 및 중개 관련 종사자,041-071-****,yunsubin@yu.kr,gyeonghyihwang,192.168.236.230,3582182211713116,1986-01-28,5,5.1848870531247,884048,489,6761
81,김예준,경상남도 부천시 삼성1로,30802,박남,식품/섬유 공학 및 에너지 시험원,063-257-****,ancaeweon@hanmail.net,gimyejin,172.28.13.100,4199915894261,1997-01-28,74,4.330630067758,667556,493,9490
82,한명숙,광주광역시 도봉구 오금로 (민서권박면),76762,성임박,의지보조기기사,043-392-****,minseo25@gimibag.com,yeweon44,192.168.22.209,342449959095353,1990-11-07,92,3.8441002,514717,138,1257
83,안춘자,강원도 단양군 논현길,53299,(유) 서장안,기타 여가 및 스포츠 관련 종사원,043-024-****,wgim@gmail.com,hongsanghun,10.251.22.126,4072486597302781,2006-09-06,23,5.671805727053,743376,70,2827
84,윤순옥,서울특별시 마포구 가락174로 (춘자송양읍),99477,엄김송,정보통신관련 관리자,043-271-****,googsun@ju.com,yeweon67,172.23.92.216,4085451724789339,2005-09-17,13,6.504,207405,969,1122
85,서시우,충청남도 시흥시 언주07거리 (수민이동),45589,배손,주조기 조작원,033-798-****,ci@gimbaggim.kr,jeongsun80,172.31.200.171,180054839837563,1972-08-15,84,4.8490388,674275,628,5129
86,서성훈,울산광역시 마포구 삼성거리 (성진김마을),71898,김이박,기업고위임원,016-689-****,seocaeweon@naver.com,ocoe,172.18.230.222,6517581619405311,2021-02-28,54,2.85,372071,90,2356
87,이진우,전라북도 인제군 서초대256가,11309,(주) 홍오김,문리 및 어학 강사,051-140-****,qgim@nate.com,hyeonjun53,10.73.85.130,374582414372966,2016-12-05,62,6.84454,190445,241,6198
88,이수빈,전라남도 청양군 서초중앙4길,68910,이김최,도배공 및 유리 부착원,051-659-****,sgim@gimjang.com,eseo,192.168.134.211,639029117186,2012-08-13,92,7.5854656968,518438,962,8096
89,김수진,대구광역시 성동구 언주26가 (수빈이서마을),50135,정최김,공업기계 설치 및 정비원,011-404-****,yeongho06@live.com,donghyeon18,192.168.38.86,6011998199575266,2016-09-09,44,5.5,387851,76,4603
90,황옥자,충청남도 화성시 석촌호수로 (지민한김읍),62366,유한회사 배,도시 및 교통설계 전문가,018-577-****,ihyeonjeong@yu.kr,junyeong50,10.199.220.92,4476653988772,2009-08-26,76,2.5294046727,555578,198,3784
91,최정자,광주광역시 중구 선릉길,97071,김이김,방수공,070-1110-****,yunseo24@bagbaghwang.com,areum54,10.158.218.164,342203062350092,1990-04-08,33,6.65514342,357890,876,5734
92,김채원,서울특별시 마포구 강남대가 (영희이서면),57295,주식회사 조,비서,064-701-****,egim@yuhanhoesa.kr,ujin62,192.168.54.214,3576556543760739,1978-01-26,22,8.8851541733095,629068,685,441
93,김정웅,세종특별자치시 남구 강남대가 (순자손한리),12399,주식회사 이조박,기타 스포츠 및 레크레이션 관련 전문가,010-5031-****,vgim@nate.com,qgim,192.168.251.45,4496528005071488,2003-04-17,95,3.1235,407416,24,541
94,김준서,제주특별자치도 수원시 장안구 석촌호수로 (하윤배오읍),86033,유한회사 이,인문과학 연구원,051-919-****,seongsugim@nate.com,pjeong,192.168.207.5,376594113146128,1973-12-23,9,3.41,362881,20,591
95,양예진,충청북도 파주시 반포대154로,88597,유한회사 오김김,시스템 소프트웨어 개발자,061-111-****,baghayun@naver.com,subin77,192.168.153.69,4907696181116,1997-10-30,37,4.75637550305,173116,366,7902
96,윤지우,충청북도 여주시 언주로 (수진박동),59407,장이,기타 이미용/예식 및 의료보조 서비스 종사원,016-163-****,gimjeongsig@daum.net,haeuno,10.244.148.176,4129929499417739,1980-04-13,44,4.34141,536881,285,2787
97,황은주,충청북도 성남시 분당구 서초대가 (승현황강리),27331,남이김,물리 및 작업 치료사,032-542-****,jeongja87@ju.com,janghayun,192.168.241.53,343745424795942,2016-09-07,67,6.5888625036775,237574,548,8765
98,최주원,서울특별시 서초구 강남대로,15177,(주) 이이성,기업고위임원,064-757-****,jaehobag@yungim.net,ujang,192.168.65.161,373545376677418,2002-01-23,49,1.25,821442,871,7100
99,황명자,충청북도 성남시 중원구 서초중앙28로 (채원김김리),31006,남박,일반 의사,017-334-****,wo@ju.kr,yeonghyiyu,172.18.161.229,2255443070795778,1977-01-31,77,5.367,387283,114,2673
100,김준호,서울특별시 은평구 언주길,77266,이박고,직업 운동선수,062-365-****,phwang@yuhanhoesa.com,vgang,172.25.173.119,3535175374690574,2007-03-28,1,7.344972857,108602,358,2097
101,강서현,전라남도 충주시 봉은사가,89337,(유) 김,생산 및 품질 관리 사무원,042-005-****,coejinu@nate.com,gimseojun,192.168.251.222,4290034409121817700,1978-04-21,90,8.2461269435953,21354,146,7269
102,김정순,인천광역시 도봉구 영동대320가 (옥순김김리),69739,최이,경호원,053-652-****,ijunyeong@nate.com,ygweon,172.30.30.18,4380321484725678,1982-01-18,4,8.682038688,352436,148,8124
103,송경수,부산광역시 금천구 학동가,91799,김백이,컴퓨터 하드웨어 기술자 및 연구원,070-1480-****,jinhosong@ju.com,jeongnamhwang,10.102.93.25,3596888136087105,1971-06-27,12,8.73839,787306,460,9887
104,장서현,전라북도 부천시 오정구 논현가 (동현김차리),3650,양김,섬유제조 기계조작원,063-826-****,joogsun@gmail.com,ygim,192.168.171.131,630409233453,2019-11-25,40,3.7,966458,145,4303
105,이미영,울산광역시 북구 테헤란로 (선영김읍),85892,주식회사 이임정,법률/경찰/소방 및 교도 관리자,043-870-****,sujin40@ogimcoe.org,tseo,10.26.101.206,4812375335453326,1995-05-28,55,8.4,879647,810,7331
106,최지후,전라북도 청양군 봉은사91길 (광수박마을),33340,김이,한복 제조원,011-082-****,jungsu21@gmail.com,yeongho75,10.255.133.211,38011572867466,2006-08-17,7,4.2218335,67502,405,5615
107,이성훈,충청남도 광주시 언주80로 (지혜이리),79572,(유) 최,기타 의복 제조원,019-478-****,minseogbag@nate.com,siui,172.21.12.133,6011248904329330,1999-01-10,45,2.61317805464,198354,20,1175
108,송서현,대전광역시 동작구 강남대3로,29827,유한회사 최박최,점토제품 생산기 조작원,016-171-****,yeeunseong@yuhanhoesa.com,migyeongmin,192.168.12.233,4017980113809907525,2009-01-30,80,3.64,337191,314,8074
109,배정남,강원도 성남시 석촌호수로 (민재한김면),44183,(유) 홍,기타 섬유 및 가죽 관련 기능 종사원,041-182-****,ugim@jusighoesa.kr,ci,10.78.243.102,30250489312707,2011-03-17,52,7.4513,568686,866,990
110,박상철,울산광역시 광진구 서초중앙100가,40084,이황,컴퓨터 보안 전문가,016-483-****,seonghun78@naver.com,zjang,192.168.67.139,30530007370760,1976-03-08,82,8.64182934912304,801331,246,2993
111,이경숙,서울특별시 도봉구 논현가 (서영남한읍),26700,(주) 김안김,변리사,018-894-****,seonghunbag@nate.com,bagyeongsun,10.5.116.50,6530210844655002,1975-11-10,51,1.18220014,139572,864,6482
112,김지우,서울특별시 강동구 잠실41로 (영미진리),53573,주식회사 손,통신 및 방송송출 장비 기사,010-7397-****,yujino@hotmail.com,hyeonjeongi,172.23.134.24,3536084592191788,1984-04-05,65,6.61474,368233,191,4683
113,이영식,충청남도 속초시 가락가,56842,(유) 이김김,통신/방송 및 인터넷 케이블 설치 및 수리원,042-744-****,seohyeon14@yu.com,jeongsig92,172.22.210.15,30160091970828,2019-01-31,27,7.6,205621,718,1088
114,김영철,대구광역시 마포구 백제고분길,25105,이임,노점 및 이동 판매원,061-928-****,geonu41@jangigim.com,jieun89,192.168.235.135,4442783541780234,1991-09-15,11,4.9,822265,88,5768
115,허재호,충청남도 증평군 봉은사3거리 (도현이읍),41167,(주) 김,증권 및 외환 딜러,070-1457-****,gimmyeongja@icoeson.com,gno,192.168.9.65,3588321702567425,1984-06-03,76,7.126,493663,507,1214
116,박병철,세종특별자치시 강동구 가락511가 (지훈김김리),95220,이이김,시멘트 및 광물제품 제조기 조작원,051-758-****,rbae@daum.net,yunseoan,10.10.133.101,4002748863588459,2016-09-14,5,3.838217892,482600,821,856
117,김정남,전라남도 용인시 수지구 잠실길 (진우김윤읍),10482,(유) 이,법무사 및 집행관,032-157-****,baejeongsug@yu.net,doyungim,192.168.238.226,3590631118337148,2003-07-25,40,3.14363923674,176192,67,5009
118,김서영,경상남도 가평군 봉은사로 (영철강읍),8237,김박김,전기/가스 및 수도 관련 관리자,033-786-****,nbag@hanmail.net,subin14,172.25.16.190,213132405224696,2003-09-01,58,2.6142,116326,975,4989
119,정정희,인천광역시 서구 역삼거리 (하은손마을),42403,유한회사 주,지휘자/작곡가 및 연주가,019-230-****,gimhyejin@ijin.com,ugim,192.168.150.160,4305682914899,2008-09-26,24,4.61150706,53025,131,8653
120,황서현,인천광역시 도봉구 양재천가 (지아주면),50475,주식회사 류이박,고객 상담 및 모니터 요원,063-687-****,hgang@gmail.com,gimhaeun,10.76.16.10,4559181892697500314,1978-03-09,22,8.943920469377,110221,643,6012
121,조영일,경상남도 고양시 일산동구 압구정0거리 (중수김이동),90252,유한회사 김민박,자연과학 연구원,041-684-****,ijihyeon@dreamwiz.com,yeongsugi,172.26.254.232,38966935669844,2011-06-08,79,7.2,200497,299,8244
122,서영식,전라남도 이천시 봉은사1거리 (영철김마을),85904,(주) 김,수의사,055-967-****,seongjinhan@bagi.com,junhyeog52,192.168.7.233,4246336089072776068,2020-06-10,33,8.566,23645,982,6076
123,강영수,대전광역시 북구 잠실길 (은경차리),33167,박최,전기 부품 및 제품제조 기계조작원,053-203-****,ccoe@daum.net,qhong,172.19.204.231,180085826957709,1999-09-25,24,6.253859521,916760,409,7991
124,장경수,부산광역시 노원구 강남대가 (성진강장리),20413,(주) 김주김,영관급 이상,055-050-****,seonghunbag@daum.net,seosumin,10.221.136.252,3587261409817783,1971-11-17,18,7.4,375006,32,2856
125,김지민,서울특별시 양천구 봉은사784거리 (동현장리),22142,이장이,전기/전자 부품 및 제품 조립원,031-896-****,jiweoni@live.com,junhyeog92,172.16.234.172,3552154221157408,2004-04-08,25,8.3,761593,490,3789
126,장민준,부산광역시 동구 서초중앙658길,19589,유한회사 김고김,수금원,054-210-****,obyeongceol@live.com,gimogsun,172.25.253.172,30566542178151,2019-06-30,47,6.3414681369004,38004,358,8781
